cdf,batch_num_decode_tokens,replica
0.0,0.0,0
0.01,10.074696689511441,0
0.02,15.029881751769887,0
0.03,19.106877269947287,0
0.04,19.88667024086647,0
0.05,21.116435486210914,0
0.06,21.116435486210914,0
0.07,21.116435486210914,0
0.08,21.97824287264948,0
0.09,21.97824287264948,0
0.1,21.97824287264948,0
0.11,22.875222481777087,0
0.12,22.875222481777087,0
0.13,22.875222481777087,0
0.14,22.875222481777087,0
0.15,22.875222481777087,0
0.16,22.875222481777087,0
0.17,22.875222481777087,0
0.18,23.808809768044906,0
0.19,23.808809768044906,0
0.2,23.808809768044906,0
0.21,23.808809768044906,0
0.22,23.808809768044906,0
0.23,23.808809768044906,0
0.24,23.808809768044906,0
0.25,23.808809768044906,0
0.26,23.808809768044906,0
0.27,24.78049876990369,0
0.28,24.78049876990369,0
0.29,24.78049876990369,0
0.3,24.78049876990369,0
0.31,24.78049876990369,0
0.32,24.78049876990369,0
0.33,25.791844500743554,0
0.34,25.791844500743554,0
0.35000000000000003,25.791844500743554,0
0.36,25.791844500743554,0
0.37,25.791844500743554,0
0.38,25.791844500743554,0
0.39,26.84446543741302,0
0.4,26.84446543741302,0
0.41000000000000003,26.84446543741302,0
0.42,26.84446543741302,0
0.43,26.84446543741302,0
0.44,26.84446543741302,0
0.45,26.84446543741302,0
0.46,26.84446543741302,0
0.47000000000000003,27.940046110299996,0
0.48,27.940046110299996,0
0.49,27.940046110299996,0
0.5,27.940046110299996,0
0.51,29.080339799119507,0
0.52,29.080339799119507,0
0.53,29.080339799119507,0
0.54,29.080339799119507,0
0.55,29.080339799119507,0
0.56,30.267171338722385,0
0.5700000000000001,30.267171338722385,0
0.58,30.267171338722385,0
0.59,30.267171338722385,0
0.6,30.878629345565244,0
0.61,30.878629345565244,0
0.62,30.878629345565244,0
0.63,30.878629345565244,0
0.64,30.878629345565244,0
0.65,32.13885296950424,0
0.66,32.13885296950424,0
0.67,32.13885296950424,0
0.68,32.13885296950424,0
0.6900000000000001,32.788122726463925,0
0.7000000000000001,32.788122726463925,0
0.71,34.12627690364846,0
0.72,34.12627690364846,0
0.73,34.12627690364846,0
0.74,34.8156966390757,0
0.75,34.8156966390757,0
0.76,34.8156966390757,0
0.77,36.236600491297956,0
0.78,36.236600491297956,0
0.79,36.96865302647569,0
0.8,37.71549450175803,0
0.81,37.71549450175803,0
0.8200000000000001,39.254745374189746,0
0.8300000000000001,40.047770533264284,0
0.84,40.047770533264284,0
0.85,40.85681640262316,0
0.86,41.682206632979195,0
0.87,43.38334760361396,0
0.88,43.38334760361396,0
0.89,45.15391581516847,0
0.9,46.06611613466682,0
0.91,46.99674474344797,0
0.92,48.91478350453145,0
0.93,49.90296094906744,0
0.9400000000000001,49.90296094906744,0
0.9500000000000001,50.91110157430113,0
0.96,50.91110157430113,0
0.97,51.93960867681227,0
0.98,52.98889370058625,0
0.99,52.98889370058625,0
1.0,55.15148501578211,0
