cdf,decode_time_execution_plus_preemption_normalized
0.0,0.0
0.01,0.017084557730898613
0.02,0.017446431745519107
0.03,0.017517156178728656
0.04,0.017577988918216776
0.05,0.01793933264672512
0.06,0.0181009734274268
0.07,0.018783788184354507
0.08,0.019229164402291343
0.09,0.020325308114269258
0.1,0.021042621258690053
0.11,0.021827632110447845
0.12,0.022471638878179247
0.13,0.023221010200712728
0.14,0.02352307084717025
0.15,0.02403348337191876
0.16,0.024618975546723477
0.17,0.025162666900743907
0.18,0.026046230922797814
0.19,0.026855183175598447
0.2,0.027293602253422602
0.21,0.029481092764743876
0.22,0.03049411913403237
0.23,0.030676317676695646
0.24,0.03258981155511543
0.25,0.03432404621837245
0.26,0.03528437837624081
0.27,0.035493870111664
0.28,0.03633100759904291
0.29,0.038011925808517553
0.3,0.0383577596452599
0.31,0.041238031554392596
0.32,0.043904041555548896
0.33,0.046015169943752855
0.34,0.04811766538493005
0.35000000000000003,0.04876834473819089
0.36,0.04907795166806468
0.37,0.049432625990187516
0.38,0.04966120163070464
0.39,0.050109936712356855
0.4,0.050382319851012713
0.41000000000000003,0.05093031715005024
0.42,0.05104600015511454
0.43,0.05137675911613416
0.44,0.05177012295940706
0.45,0.05206775383882505
0.46,0.05284730234538398
0.47000000000000003,0.053645134801530464
0.48,0.05403392037251489
0.49,0.05458053569735447
0.5,0.05529727227781481
0.51,0.0562961340051118
0.52,0.05648518871806511
0.53,0.0565593873340933
0.54,0.05704913734956997
0.55,0.05903245546215873
0.56,0.05932933746912611
0.5700000000000001,0.060535240223644045
0.58,0.061184655795979676
0.59,0.06180822893648267
0.6,0.06254632497294814
0.61,0.06259234362241047
0.62,0.06279637614331467
0.63,0.06306723630985885
0.64,0.06339646534842468
0.65,0.06349693554481413
0.66,0.0635735736650055
0.67,0.06365970748744933
0.68,0.0637625432536622
0.6900000000000001,0.06390863524069884
0.7000000000000001,0.06394793363207042
0.71,0.06411480618408841
0.72,0.06440126404278895
0.73,0.06468603020199609
0.74,0.06478459276231488
0.75,0.06488327962041057
0.76,0.0650096974265402
0.77,0.06516651497744606
0.78,0.06545368095770035
0.79,0.06564645569810638
0.8,0.06597150406046615
0.81,0.06646966175142385
0.8200000000000001,0.06715359513676072
0.8300000000000001,0.0675990211645398
0.84,0.0680601684173419
0.85,0.06931944490309083
0.86,0.06970641534804974
0.87,0.07003073429276985
0.88,0.07033072968184503
0.89,0.07136344879627583
0.9,0.07223363297014998
0.91,0.0741603336173862
0.92,0.07527498158821379
0.93,0.07563059643170275
0.9400000000000001,0.07586580841212377
0.9500000000000001,0.07653732594697155
0.96,0.07886957868647139
0.97,0.08026970093032987
0.98,0.08261624953296935
0.99,0.0907709469902475
1.0,0.20163313803409857
