cdf,request_model_execution_time
0.0,0.4836341124298179
0.01,0.5467657479367084
0.02,0.9114517715213699
0.03,1.0354291030968936
0.04,1.1716765191655059
0.05,1.2496132658719878
0.06,1.5590742636304167
0.07,1.717365974230236
0.08,1.9483020191011817
0.09,2.2753420876230317
0.1,2.838245897641563
0.11,3.1498978401713362
0.12,3.8429290532440494
0.13,5.209289248751358
0.14,5.943073431112968
0.15,6.546659445224486
0.16,6.982229324879983
0.17,7.609700696760107
0.18,8.074946181458188
0.19,8.685322481310651
0.2,10.087853963491128
0.21,10.934330862350949
0.22,11.294977864387375
0.23,11.441348003935095
0.24,11.56103485711793
0.25,11.777200536320347
0.26,12.215155365387147
0.27,12.582412358387813
0.28,12.786269569353225
0.29,12.945686013329178
0.3,13.161129898461157
0.31,13.486263543158595
0.32,13.87045045719963
0.33,14.401300198316244
0.34,15.171461293588074
0.35000000000000003,15.421942008790955
0.36,15.526305962711952
0.37,15.752947437375042
0.38,16.173752840081168
0.39,16.484775711610308
0.4,17.232477670720588
0.41000000000000003,18.15489134113935
0.42,18.736624977510633
0.43,18.831671116974597
0.44,19.450814464202548
0.45,20.17856107735369
0.46,20.386489779171843
0.47000000000000003,20.538926565936176
0.48,20.75853495102912
0.49,21.462146542475345
0.5,22.03384231684981
0.51,22.57525560858961
0.52,22.76680092864016
0.53,23.00468319837155
0.54,23.41248927299461
0.55,23.92710304689162
0.56,24.29186722763388
0.5700000000000001,24.4537120009759
0.58,25.127898739391984
0.59,25.58898522702866
0.6,26.712220826882838
0.61,27.51637769273276
0.62,27.60288248378323
0.63,27.747526034450544
0.64,28.17292484553832
0.65,28.947686334756625
0.66,29.408352402429507
0.67,30.155552321609306
0.68,30.733669323950874
0.6900000000000001,30.972086781598406
0.7000000000000001,31.524865050220495
0.71,33.64479116945921
0.72,34.070587436729845
0.73,34.34587197644408
0.74,34.62027910851463
0.75,34.86529480459201
0.76,35.31860068259066
0.77,35.86772325876236
0.78,37.425343933281006
0.79,37.86886029493547
0.8,38.509780971684
0.81,39.207356044094894
0.8200000000000001,40.268731828778435
0.8300000000000001,41.64965295988306
0.84,44.08256084318061
0.85,45.799424512733744
0.86,47.541705875541815
0.87,48.83520867261761
0.88,52.934430123853744
0.89,60.42810237564088
0.9,68.33671411052849
0.91,87.63370603128325
0.92,102.9458532208797
0.93,117.10910760902561
0.9400000000000001,141.26876595167647
0.9500000000000001,146.6447628351998
0.96,157.95646277224878
0.97,205.70518438844067
0.98,244.36360092225934
0.99,259.55754069053955
1.0,269.85856055639516
