cdf,batch_num_decode_tokens,replica
0.0,0.0,0
0.01,15.959309654787097,0
0.02,25.791844500743554,0
0.03,25.791844500743554,0
0.04,25.791844500743554,0
0.05,25.791844500743554,0
0.06,26.84446543741302,0
0.07,26.84446543741302,0
0.08,26.84446543741302,0
0.09,27.940046110299996,0
0.1,27.940046110299996,0
0.11,27.940046110299996,0
0.12,29.080339799119507,0
0.13,29.080339799119507,0
0.14,30.267171338722385,0
0.15,30.267171338722385,0
0.16,30.878629345565244,0
0.17,32.13885296950424,0
0.18,32.13885296950424,0
0.19,32.788122726463925,0
0.2,34.12627690364846,0
0.21,34.8156966390757,0
0.22,36.236600491297956,0
0.23,36.236600491297956,0
0.24,36.96865302647569,0
0.25,36.96865302647569,0
0.26,36.96865302647569,0
0.27,37.71549450175803,0
0.28,37.71549450175803,0
0.29,37.71549450175803,0
0.3,37.71549450175803,0
0.31,39.254745374189746,0
0.32,39.254745374189746,0
0.33,39.254745374189746,0
0.34,39.254745374189746,0
0.35000000000000003,39.254745374189746,0
0.36,39.254745374189746,0
0.37,39.254745374189746,0
0.38,39.254745374189746,0
0.39,40.047770533264284,0
0.4,40.047770533264284,0
0.41000000000000003,40.047770533264284,0
0.42,40.047770533264284,0
0.43,40.85681640262316,0
0.44,40.85681640262316,0
0.45,40.85681640262316,0
0.46,40.85681640262316,0
0.47000000000000003,40.85681640262316,0
0.48,40.85681640262316,0
0.49,41.682206632979195,0
0.5,41.682206632979195,0
0.51,41.682206632979195,0
0.52,43.38334760361396,0
0.53,43.38334760361396,0
0.54,43.38334760361396,0
0.55,43.38334760361396,0
0.56,43.38334760361396,0
0.5700000000000001,44.25977886833345,0
0.58,44.25977886833345,0
0.59,44.25977886833345,0
0.6,45.15391581516847,0
0.61,45.15391581516847,0
0.62,45.15391581516847,0
0.63,45.15391581516847,0
0.64,46.06611613466682,0
0.65,46.06611613466682,0
0.66,46.06611613466682,0
0.67,46.99674474344797,0
0.68,47.946173930184294,0
0.6900000000000001,48.91478350453145,0
0.7000000000000001,48.91478350453145,0
0.71,49.90296094906744,0
0.72,49.90296094906744,0
0.73,50.91110157430113,0
0.74,50.91110157430113,0
0.75,51.93960867681227,0
0.76,51.93960867681227,0
0.77,52.98889370058625,0
0.78,52.98889370058625,0
0.79,54.0593764016082,0
0.8,55.15148501578211,0
0.81,56.26565643024235,0
0.8200000000000001,56.26565643024235,0
0.8300000000000001,58.561979516876065,0
0.84,58.561979516876065,0
0.85,58.561979516876065,0
0.86,59.74504981014625,0
0.87,60.952020513381534,0
0.88,62.18337446314682,0
0.89,62.18337446314682,0
0.9,63.43960425028111,0
0.91,63.43960425028111,0
0.92,63.43960425028111,0
0.93,63.43960425028111,0
0.9400000000000001,66.02871165769999,0
0.9500000000000001,67.36262502452222,0
0.96,67.36262502452222,0
0.97,67.36262502452222,0
0.98,68.72348613612871,0
0.99,71.52824018719001,0
1.0,74.44746231502144,0
