cdf,request_execution_plus_preemption_time
0.0,0.4234890846109146
0.01,0.5139274193051808
0.02,0.699108424297364
0.03,1.0641830792462597
0.04,1.382457936558543
0.05,1.6817946236802466
0.06,1.9272201861069636
0.07,2.0526148111213347
0.08,2.7858048857138176
0.09,3.358597252398193
0.1,4.609420439850374
0.11,5.447747929467156
0.12,5.752521276723896
0.13,6.614348961313
0.14,7.517478416405863
0.15,8.352560043296453
0.16,9.473411694418068
0.17,10.146542271600431
0.18,10.368319872897448
0.19,10.713810137102236
0.2,10.83018019018586
0.21,11.073436506142437
0.22,11.386632447563002
0.23,11.650685919152066
0.24,12.07868541976851
0.25,12.214047972721744
0.26,12.922359131968738
0.27,13.3052490190936
0.28,13.891481615960757
0.29,14.243385414085843
0.3,15.16923321463012
0.31,15.86915961601692
0.32,16.01229451777474
0.33,16.37170472922064
0.34,16.647426383417308
0.35000000000000003,16.929233186666195
0.36,17.207568378136585
0.37,17.58169304102765
0.38,17.912936460993222
0.39,18.38143810657771
0.4,18.704773625932614
0.41000000000000003,18.98058993151585
0.42,19.290181772841603
0.43,19.62993747729092
0.44,20.923883609862113
0.45,21.639706604665577
0.46,21.827570323808406
0.47000000000000003,22.086131092527406
0.48,22.598806325462967
0.49,22.91520102872311
0.5,23.330591553630768
0.51,24.216790228822074
0.52,24.886445267480678
0.53,25.53995516816146
0.54,26.079161883551773
0.55,26.42928710859345
0.56,26.844266697257854
0.5700000000000001,28.051662058157273
0.58,28.457633221068864
0.59,29.2477243541842
0.6,31.204314173902567
0.61,33.006544844315094
0.62,33.21792001774106
0.63,33.49971350594516
0.64,34.099792846241165
0.65,34.33211471654234
0.66,34.622884626083305
0.67,35.037604284937444
0.68,36.013874210373665
0.6900000000000001,37.46207858891147
0.7000000000000001,37.68900046299987
0.71,37.96978989693497
0.72,38.639782069760074
0.73,38.75630951713851
0.74,39.2068475115501
0.75,40.35954659668451
0.76,40.79127226480501
0.77,41.654703951982505
0.78,43.267309892819064
0.79,44.11924298713745
0.8,45.864852807515604
0.81,46.629188037929005
0.8200000000000001,51.263248657775144
0.8300000000000001,57.416545411616504
0.84,59.81287539173696
0.85,64.3835961420226
0.86,66.5905773114596
0.87,69.73549466093407
0.88,73.61284628651582
0.89,87.92598999338439
0.9,96.77367711683786
0.91,108.7420541230852
0.92,121.63141097187899
0.93,125.91886803022763
0.9400000000000001,140.252016832436
0.9500000000000001,153.74087350885122
0.96,157.8954992436413
0.97,171.61514580706012
0.98,191.65917932486224
0.99,205.06729336839228
1.0,253.74427160535083
