Request Id,request_execution_plus_preemption_time_normalized
5,0.21792197065046603
15,0.12194385100797181
11,0.18422521850393675
6,0.14205626240755936
29,0.1308519363206386
27,0.1082921430783492
34,0.5166494851828081
25,0.13575530466192448
16,0.12348639785394376
37,0.09565595550711238
4,0.11321696722798692
9,0.08576758269959894
26,0.059346142826124215
14,0.06557896258413211
45,0.028405778069007664
17,0.06604571930275709
35,0.045504958782293534
7,0.08986918293471702
42,0.04115026550806231
38,0.041677572461540704
20,0.06944947695079812
2,0.08949833969210048
8,0.09071562208965607
43,0.04480279856138121
1,0.08987675959183011
12,0.09621105130092962
21,0.07444095773344206
33,0.059448804538992046
58,0.11421327642620525
32,0.06656558201250261
23,0.075625894915031
44,0.06074105296859948
18,0.08052236217168797
68,0.16122799098653842
64,0.11883648553917815
74,0.6894061787074528
57,0.12364765085007942
22,0.08139662701062038
13,0.08681358339635653
10,0.09807679133471185
36,0.07833261347256194
53,0.11577704480831295
85,0.4234890846109146
80,0.07667411640431723
48,0.1198663572483155
65,0.10697083216093443
66,0.09735845013643207
40,0.07198155891469517
30,0.07397620100438765
39,0.07009710070633514
3,0.08985468750534556
31,0.07166850491628872
72,0.07850139528747664
41,0.06882096792491749
59,0.07428465777676285
76,0.06249125628930794
52,0.07969156893113365
62,0.07570436771852487
55,0.0796892093646939
67,0.07268849153585068
77,0.05830896874145801
28,0.06938904529511745
60,0.07411951110190633
103,0.051791508141489355
75,0.060895818252233114
71,0.06741225816188622
56,0.07579353279159814
24,0.0704681675730989
70,0.06654788507472036
78,0.05660443581739491
61,0.06929517737150737
19,0.07183031743943531
51,0.07818952979087992
63,0.07232965960593694
54,0.07813433186970291
87,0.06284917364286467
69,0.07585498495630597
122,0.12454660304547298
114,0.0898559436417394
130,0.03990727924235441
100,0.07131600330126878
79,0.06357173649409217
73,0.07008416000530009
116,0.07464417042239765
115,0.07675988022125059
113,0.07249401840654233
81,0.060556936200239914
105,0.06796920395158185
82,0.05992275346794322
139,0.11548044846846164
134,0.06960766190326914
129,0.062159916946372996
135,0.06611087778776542
149,0.12401996201549048
99,0.06554978073136083
151,0.11903743909946245
104,0.0660057582415248
106,0.06555563847864233
159,0.02200991274429826
97,0.06515512812231743
124,0.07268522790166806
127,0.055074055122169535
121,0.06954945324851279
101,0.06581853084002799
128,0.05939667657324042
107,0.0641327629277023
126,0.058485843818484456
171,0.040747927292775495
118,0.06513432893653828
152,0.054757520941246626
136,0.049988828419269986
168,0.0431826077383518
155,0.04278385424343335
167,0.046136142635554565
125,0.052789006493712896
158,0.04601717758480571
145,0.056011262961170205
157,0.045393782275889576
141,0.05007441737918329
143,0.05026772764732461
154,0.047021665750355324
153,0.04812592852101187
142,0.05031090483348792
150,0.046774551951511895
164,0.046928988167352755
140,0.048289407461077315
148,0.04758959424955433
188,0.04367626275588827
165,0.046201139172356784
191,0.039272758703521475
163,0.041658738587823194
181,0.03608898158270892
175,0.03281777016796757
170,0.03637715190919982
185,0.03415293217765996
183,0.03433414976467854
86,0.05054493231781036
189,0.03439461112523103
172,0.03420063665124057
177,0.03562192785875145
187,0.03639261224690953
169,0.03890419917492505
182,0.034950955196518634
161,0.03893048063110454
162,0.03902315708145236
192,0.03200039852275593
146,0.03945931115311501
205,0.028733983798393082
195,0.02974210195642283
204,0.02484072492835713
131,0.03706828015913829
147,0.034893642829133584
201,0.02523616335118709
203,0.02492059930624494
209,0.021745669403513957
196,0.027091290232934544
194,0.025363734781149855
173,0.026888672803668308
216,0.02003771641685252
84,0.038723205061522804
217,0.020041591393319944
138,0.025456565805192552
133,0.027119354473170133
117,0.029238342969522192
184,0.02000899258657823
160,0.02179726592723298
210,0.017627306537922806
193,0.019118533998851897
202,0.018546070826398916
49,0.032406778082270195
47,0.032531552898554396
102,0.025340938123641556
92,0.025377815604730854
132,0.022013699666344335
207,0.017878627614824723
89,0.024181689224212575
198,0.018390205837894653
176,0.01933788395211031
83,0.02412568853648227
206,0.018079106172630047
197,0.018322445696497252
109,0.022702880256512417
137,0.020751539668992798
199,0.018740612339617675
227,0.17603662030617337
166,0.01979029701711869
231,0.027235674590053514
229,0.03931210095905795
225,0.027445300285177228
232,0.031237107654077265
228,0.01975769021090685
123,0.021749132870629267
174,0.018315240212220325
108,0.020628280061992334
178,0.01816692053735314
90,0.02096886799482281
