cdf,batch_num_tokens,replica
0.0,25.791844500743554,0
0.01,25.791844500743554,0
0.02,25.791844500743554,0
0.03,25.791844500743554,0
0.04,26.84446543741302,0
0.05,26.84446543741302,0
0.06,26.84446543741302,0
0.07,27.940046110299996,0
0.08,27.940046110299996,0
0.09,27.940046110299996,0
0.1,29.080339799119507,0
0.11,29.080339799119507,0
0.12,30.267171338722385,0
0.13,30.878629345565244,0
0.14,30.878629345565244,0
0.15,32.13885296950424,0
0.16,32.788122726463925,0
0.17,32.788122726463925,0
0.18,34.8156966390757,0
0.19,36.236600491297956,0
0.2,36.96865302647569,0
0.21,36.96865302647569,0
0.22,36.96865302647569,0
0.23,37.71549450175803,0
0.24,37.71549450175803,0
0.25,37.71549450175803,0
0.26,37.71549450175803,0
0.27,37.71549450175803,0
0.28,39.254745374189746,0
0.29,39.254745374189746,0
0.3,39.254745374189746,0
0.31,39.254745374189746,0
0.32,39.254745374189746,0
0.33,39.254745374189746,0
0.34,40.047770533264284,0
0.35000000000000003,40.047770533264284,0
0.36,40.047770533264284,0
0.37,40.047770533264284,0
0.38,40.85681640262316,0
0.39,40.85681640262316,0
0.4,40.85681640262316,0
0.41000000000000003,40.85681640262316,0
0.42,40.85681640262316,0
0.43,40.85681640262316,0
0.44,41.682206632979195,0
0.45,41.682206632979195,0
0.46,41.682206632979195,0
0.47000000000000003,43.38334760361396,0
0.48,43.38334760361396,0
0.49,43.38334760361396,0
0.5,43.38334760361396,0
0.51,43.38334760361396,0
0.52,44.25977886833345,0
0.53,44.25977886833345,0
0.54,45.15391581516847,0
0.55,45.15391581516847,0
0.56,45.15391581516847,0
0.5700000000000001,45.15391581516847,0
0.58,46.06611613466682,0
0.59,46.06611613466682,0
0.6,46.06611613466682,0
0.61,46.99674474344797,0
0.62,47.946173930184294,0
0.63,48.91478350453145,0
0.64,48.91478350453145,0
0.65,49.90296094906744,0
0.66,49.90296094906744,0
0.67,50.91110157430113,0
0.68,51.93960867681227,0
0.6900000000000001,51.93960867681227,0
0.7000000000000001,52.98889370058625,0
0.71,54.0593764016082,0
0.72,55.15148501578211,0
0.73,55.15148501578211,0
0.74,56.26565643024235,0
0.75,57.402336358126036,0
0.76,58.561979516876065,0
0.77,58.561979516876065,0
0.78,58.561979516876065,0
0.79,60.952020513381534,0
0.8,62.18337446314682,0
0.81,62.18337446314682,0
0.8200000000000001,63.43960425028111,0
0.8300000000000001,63.43960425028111,0
0.84,63.43960425028111,0
0.85,63.43960425028111,0
0.86,67.36262502452222,0
0.87,67.36262502452222,0
0.88,67.36262502452222,0
0.89,68.72348613612871,0
0.9,71.52824018719001,0
0.91,2059.4708216599197,0
0.92,2059.4708216599197,0
0.93,2059.4708216599197,0
0.9400000000000001,2059.4708216599197,0
0.9500000000000001,2059.4708216599197,0
0.96,2059.4708216599197,0
0.97,2059.4708216599197,0
0.98,2059.4708216599197,0
0.99,2059.4708216599197,0
1.0,2059.4708216599197,0
