cdf,request_execution_plus_preemption_time_normalized
0.0,0.017627306537922806
0.01,0.01806908224473978
0.02,0.018300408244733606
0.03,0.018380041816685042
0.04,0.018701704036973923
0.05,0.01928304646379571
0.06,0.019780514975255136
0.07,0.020027663076256516
0.08,0.020393604594523378
0.09,0.020871070248199303
0.1,0.02174740113707161
0.11,0.021892956994912356
0.12,0.022289371902411568
0.13,0.024145288777187877
0.14,0.02486468724172347
0.15,0.025262357044300705
0.16,0.025366550945866054
0.17,0.025671381854963923
0.18,0.027094096656958104
0.19,0.027246155874809698
0.2,0.028405778069007664
0.21,0.029213125010965735
0.22,0.031087607084311818
0.23,0.03234582114834306
0.24,0.032760526714084935
0.25,0.03418871053284542
0.26,0.03437647271706529
0.27,0.03493089586793387
0.28,0.03590216009312594
0.29,0.03638565509494016
0.3,0.037895742610330546
0.31,0.03891602583020582
0.32,0.03912299773028001
0.33,0.03936362452697792
0.34,0.040159473657480745
0.35000000000000003,0.04127738377800253
0.36,0.04189882881791924
0.37,0.04325665599098227
0.38,0.044861896932832046
0.39,0.04553056972241914
0.4,0.046136142635554565
0.41000000000000003,0.04674588131255413
0.42,0.04701239799205507
0.43,0.04804547838029324
0.44,0.04964894422763145
0.45,0.05021940008028928
0.46,0.05047472407251363
0.47000000000000003,0.05243988207043465
0.48,0.05494744144980037
0.49,0.056337508032093794
0.5,0.05839740627997123
0.51,0.05936888301232651
0.52,0.05963838411057252
0.53,0.06062137706916577
0.54,0.06127504786047509
0.55,0.06258073562769713
0.56,0.06368394178081421
0.5700000000000001,0.06513744881440515
0.58,0.06555036650608899
0.59,0.0655909409969269
0.6,0.0660057582415248
0.61,0.066107619863515
0.62,0.06656381231872438
0.63,0.0678856620831275
0.64,0.06920033548218939
0.65,0.06943436903687795
0.66,0.06959019930684224
0.67,0.07009257146097288
0.68,0.07097686901000085
0.6900000000000001,0.07175750180401934
0.7000000000000001,0.07215560926031606
0.71,0.07258006267934891
0.72,0.07320357532326548
0.73,0.07417731243810612
0.74,0.07450192154012875
0.75,0.07564551311590446
0.76,0.07580582322453971
0.77,0.07668698097685724
0.78,0.07813985166182061
0.79,0.07834105256330769
0.8,0.0796892093646939
0.81,0.08048082250966027
0.8200000000000001,0.08533048713070099
0.8300000000000001,0.08909562624773888
0.84,0.08985569241446063
0.85,0.08987486542755184
0.86,0.09417385548187543
0.87,0.09695686054400622
0.88,0.10341321583044535
0.89,0.11100079636065
0.9,0.11484686244733344
0.91,0.11715379313720234
0.92,0.11936900635900367
0.93,0.12248374240406203
0.9400000000000001,0.12375934419970273
0.9500000000000001,0.1261229363642644
0.96,0.13701549621105139
0.97,0.16344928538448375
0.98,0.18759489371858948
0.99,0.42814710463951033
1.0,0.6894061787074528
