cdf,request_execution_time
0.0,0.4234890846109146
0.01,0.5139274193051808
0.02,0.699108424297364
0.03,1.0641830792462597
0.04,1.382457936558543
0.05,1.6817946236802466
0.06,1.9272201861069636
0.07,2.0526148111213347
0.08,2.7858048857138176
0.09,3.358597252398193
0.1,4.204541763939734
0.11,5.123320401545878
0.12,5.725405147289746
0.13,6.118930302712167
0.14,7.517478416405863
0.15,8.30824846505087
0.16,9.473411694418068
0.17,10.146542271600431
0.18,10.368319872897448
0.19,10.712852136724745
0.2,10.826694474812676
0.21,10.858912163815553
0.22,11.190814081730474
0.23,11.432666480791669
0.24,11.876510993797266
0.25,12.092432598197778
0.26,12.705025432009315
0.27,13.3052490190936
0.28,13.891481615960757
0.29,14.243385414085843
0.3,15.16923321463012
0.31,15.858435863943512
0.32,15.937300088012297
0.33,16.37170472922064
0.34,16.647426383417308
0.35000000000000003,16.929233186666195
0.36,17.207568378136585
0.37,17.576860831666426
0.38,17.801585344407368
0.39,18.38143810657771
0.4,18.704773625932614
0.41000000000000003,18.98058993151585
0.42,19.290181772841603
0.43,19.62993747729092
0.44,20.833154079941558
0.45,21.639706604665577
0.46,21.827570323808406
0.47000000000000003,22.086131092527406
0.48,22.598806325462967
0.49,22.91520102872311
0.5,23.330591553630768
0.51,24.216790228822074
0.52,24.886445267480678
0.53,25.53995516816146
0.54,26.079161883551773
0.55,26.42928710859345
0.56,26.844266697257854
0.5700000000000001,28.051662058157273
0.58,28.457633221068864
0.59,29.2477243541842
0.6,31.076290513733824
0.61,31.734947779792495
0.62,33.10223779918499
0.63,33.48584645445201
0.64,34.099792846241165
0.65,34.24964351545547
0.66,34.44222674309674
0.67,35.037604284937444
0.68,36.013874210373665
0.6900000000000001,37.46207858891147
0.7000000000000001,37.68900046299987
0.71,37.96978989693497
0.72,38.49178947387509
0.73,38.66810350756984
0.74,39.18065735784215
0.75,40.35954659668451
0.76,40.79127226480501
0.77,41.654703951982505
0.78,43.267309892819064
0.79,44.11924298713745
0.8,45.864852807515604
0.81,46.6139607091537
0.8200000000000001,51.24974034349079
0.8300000000000001,57.32117424718162
0.84,59.80226086563077
0.85,64.37111048632477
0.86,66.56191717303665
0.87,69.73017330033264
0.88,73.52619180295503
0.89,87.90992803959512
0.9,96.68025253205559
0.91,108.59095207910701
0.92,121.1099902260219
0.93,125.7960236877838
0.9400000000000001,140.21398070094867
0.9500000000000001,152.64877872457922
0.96,157.67312452819738
0.97,171.58028186237783
0.98,191.6306900523446
0.99,205.05123417348094
1.0,253.72816494526697
