cdf,request_e2e_time
0.0,1.212167429437298
0.01,17.586453215406838
0.02,25.386022053795234
0.03,26.322725634446467
0.04,30.824232668930474
0.05,34.299146936375024
0.06,36.11929164584813
0.07,37.052981449062365
0.08,37.62162238336262
0.09,38.30267126229361
0.1,40.11394637936198
0.11,42.12766152204479
0.12,43.50846110844282
0.13,43.80819634193614
0.14,44.88007531862187
0.15,47.33611032798683
0.16,49.112917945136445
0.17,50.58455631791228
0.18,52.48100413729346
0.19,57.65596910436163
0.2,59.64699084277575
0.21,61.621675673682475
0.22,62.23468320507871
0.23,63.08547955661292
0.24,64.59343635497866
0.25,66.18179798423127
0.26,67.24674704401293
0.27,68.06786746979826
0.28,68.64102746224827
0.29,69.4717818980298
0.3,70.23667406221986
0.31,71.29810959883672
0.32,71.75357528832589
0.33,72.79236023549313
0.34,74.66739017877285
0.35000000000000003,75.8029134269624
0.36,78.80359891219078
0.37,80.78022924373005
0.38,81.35976019722021
0.39,82.54829585782603
0.4,82.66172180663183
0.41000000000000003,85.7039824518783
0.42,86.26492810027575
0.43,88.7878749039207
0.44,89.80728482130101
0.45,91.36041363006584
0.46,93.13641899637994
0.47000000000000003,94.20173121695936
0.48,94.72692924136643
0.49,97.58500976200949
0.5,99.94193148953308
0.51,100.23105861859719
0.52,101.29394832254083
0.53,102.3712228165889
0.54,103.467265134922
0.55,104.35607127211622
0.56,105.12330027594692
0.5700000000000001,105.90483226456686
0.58,106.6715729308303
0.59,107.47018366016087
0.6,107.88375635393655
0.61,108.08611670735709
0.62,109.53112951195574
0.63,109.78626731309326
0.64,111.14000637053707
0.65,111.92827450323813
0.66,112.86369630884339
0.67,113.26652665330482
0.68,113.3388899407868
0.6900000000000001,113.7828940666476
0.7000000000000001,114.64325392141082
0.71,116.46639441275215
0.72,118.71803424565266
0.73,119.02732291187223
0.74,121.24675455245568
0.75,122.80262729997503
0.76,123.46366872267312
0.77,124.13115229364594
0.78,125.56853534275622
0.79,127.12740340837965
0.8,130.18939957000944
0.81,132.82392673555398
0.8200000000000001,144.06720390952867
0.8300000000000001,155.63531429739695
0.84,160.10697552783472
0.85,164.52603602653255
0.86,169.09456993896552
0.87,188.3038304695741
0.88,196.78057657577324
0.89,203.4594510733856
0.9,208.8215135395816
0.91,217.51650693374413
0.92,226.52688289805656
0.93,230.5535832942076
0.9400000000000001,233.37734481078238
0.9500000000000001,238.40617292468997
0.96,238.53240271422783
0.97,240.01726961448625
0.98,268.9987007503732
0.99,302.83544765188924
1.0,314.90845045052953
