Request Id,decode_time_execution_plus_preemption_normalized
5,0.06202695525165066
15,0.09430020255734053
11,0.17209838458145693
6,0.14035725439101127
29,0.093968471868514
27,0.1006485279711234
34,0.0
25,0.12316337990024473
16,0.11940861734898424
37,0.0886433532044849
4,0.11263341471124344
9,0.08385182102144462
26,0.04501032581356582
14,0.06502605514397679
45,0.025265387204971693
17,0.06577047520352387
35,0.03805010244724867
7,0.08680018990080952
42,0.037210876901447955
38,0.04092656768589299
20,0.06647295583899533
2,0.08850482741610557
8,0.08693776816758596
43,0.04152043403431183
1,0.08915121106716124
12,0.07255944541712164
21,0.06955139703360166
33,0.0584195933827913
58,0.10161514782905456
32,0.06363428997865549
23,0.07466800335623829
44,0.060419848341851566
18,0.0787313138533081
68,0.10454836805833168
64,0.1169237027951432
74,0.06212249358856544
57,0.11576316416492613
22,0.08045207838923055
13,0.08563868299310433
10,0.09641643947053925
36,0.07597652971188336
53,0.1129556585102171
85,0.0
80,0.07074997565293728
48,0.11967028203068232
65,0.099600583830272
66,0.09616248527706331
40,0.0716114927749553
30,0.07270774833988586
39,0.06959143861048153
3,0.08935779041244139
31,0.07147960301830032
72,0.07512902311889524
41,0.06850057299266063
59,0.07375793508706331
76,0.0519832135242785
52,0.078467307082174
62,0.07429367915147482
55,0.07712427854197143
67,0.07191257881359582
77,0.05739598257626617
28,0.0687270248704761
60,0.07370079242733842
103,0.048865660222718946
75,0.06018737468726217
71,0.0657650002411248
56,0.07182454676493745
24,0.06970986768102297
70,0.06537422401646155
78,0.053602524928914694
61,0.06764983047047543
19,0.07041752027505353
51,0.07312397745462224
63,0.07065693234630067
54,0.07535281893058023
87,0.06203529739369939
69,0.07505133922807158
122,0.12004571384089278
114,0.08646885678567742
130,0.023426357011096348
100,0.07097594318497484
79,0.058764106176665935
73,0.06672865039885055
116,0.07378526499257343
115,0.0754259156266248
113,0.07079513469484422
81,0.05893029554331708
105,0.0662253101286125
82,0.059043295520139344
139,0.09667405532955228
134,0.06792461744454606
129,0.05317727388332288
135,0.04176547262161332
149,0.09778095309899489
99,0.06533092630233112
151,0.08128854440407034
104,0.06544897567540106
106,0.06514359069581845
159,0.017379990575276696
97,0.062252722454503404
124,0.05516042468515849
127,0.054601738744533064
121,0.0689586705231314
101,0.06551246927909152
128,0.05918101795377213
107,0.06383178827284147
126,0.05802163496725265
171,0.029208345925460694
118,0.06496625348486615
152,0.0535877609390599
136,0.04945540649053593
168,0.04214386455977518
155,0.04235520399670034
167,0.03786258903536105
125,0.05107725480299575
158,0.044457794380630945
145,0.05076323976225839
157,0.04476915870817608
141,0.049630218860583906
143,0.04826255413212675
154,0.045174288950897604
153,0.04628708562110915
142,0.04992463392886751
150,0.04581676820113738
164,0.04505409092589265
140,0.04810811024762728
148,0.04659689597022141
188,0.04196236461156826
165,0.04536137939853065
191,0.03865443461646123
163,0.04125418527644418
181,0.03281700390245651
175,0.032675215814891766
170,0.03322151066515056
185,0.033876259550401334
183,0.033150067694817445
86,0.05011903009719646
189,0.032642059206087225
172,0.0339786556162849
177,0.03523464275399599
187,0.03463812094895071
169,0.03684132418343764
182,0.03367269779912508
161,0.03880480666942751
162,0.03877524729103983
192,0.03178255729726388
146,0.03929168245699131
205,0.02835406941015069
195,0.029332400760918222
204,0.022990914396460126
131,0.036969496294950534
147,0.03473344101687902
201,0.024915676765021343
203,0.024209399597174195
209,0.021129627406400592
196,0.026922815103626065
194,0.02421632034559599
173,0.026362059548144405
216,0.019909716178601586
84,0.03829562432456744
217,0.019892255894056948
138,0.025320176322765998
133,0.02682911659267883
117,0.02913503556613398
184,0.019901292103278734
160,0.02173076253170811
210,0.017467762609933223
193,0.018884562161549275
202,0.018412306116472692
49,0.03237910618663519
47,0.03249785576805127
102,0.02527607902514584
92,0.025252579475891764
132,0.02195698825399974
207,0.017815226685015645
89,0.02414739628284112
198,0.018264835561768045
176,0.019316319144211447
83,0.02406332216467395
206,0.018054916680652087
197,0.018289640841835507
109,0.022659452178317926
137,0.020613764450624673
199,0.018657481944272247
227,0.0742510656878963
166,0.019733032704672505
231,0.023891682374964165
229,0.03320750232016414
225,0.027178090431380784
232,0.02988064629157819
228,0.019560294179101153
123,0.021700913344311328
174,0.018299036008849055
108,0.02061717137882775
178,0.01814692828630624
90,0.020958522876024194
