cdf,request_e2e_time_normalized
0.0,0.03711810553732159
0.01,0.03856503746278126
0.02,0.039401163795648515
0.03,0.04012533963821456
0.04,0.04093810474015533
0.05,0.044042502671885336
0.06,0.04788896981032746
0.07,0.04980926783468248
0.08,0.05091737136580623
0.09,0.053732076640008265
0.1,0.05532515808514969
0.11,0.06064386286383643
0.12,0.06309628467651901
0.13,0.06884111015395983
0.14,0.07171829069183316
0.15,0.0734099380213812
0.16,0.0770550679716455
0.17,0.0795446814664468
0.18,0.07979136328567424
0.19,0.08058827477299153
0.2,0.08204366089120195
0.21,0.08288061525706585
0.22,0.08581521630230277
0.23,0.0888718383426922
0.24,0.09074233385266238
0.25,0.09197745891706348
0.26,0.09238419545363888
0.27,0.09439657593296817
0.28,0.0988310385984275
0.29,0.10351129161538357
0.3,0.10620541625013412
0.31,0.10731860513362503
0.32,0.10904705429027088
0.33,0.11579746485955364
0.34,0.1248054234019092
0.35000000000000003,0.1254223130507684
0.36,0.1254707932950308
0.37,0.12552680292622082
0.38,0.12640693318123514
0.39,0.12821441810927026
0.4,0.13028084636187512
0.41000000000000003,0.1319599690349625
0.42,0.13295682707169876
0.43,0.13326044142233084
0.44,0.13448074607382737
0.45,0.1378149132802505
0.46,0.1380616710595933
0.47000000000000003,0.13871105672906014
0.48,0.13982054076688918
0.49,0.14081094480983258
0.5,0.14295703060701373
0.51,0.14505946305371148
0.52,0.14670972822594677
0.53,0.14997379788039594
0.54,0.15272154996837914
0.55,0.15298415962717965
0.56,0.15365265553658705
0.5700000000000001,0.16070840132589323
0.58,0.16199103919330568
0.59,0.16376052039747277
0.6,0.16557223777927957
0.61,0.16850386458237157
0.62,0.1709520780750333
0.63,0.17282323735679989
0.64,0.17620693460141526
0.65,0.17792432523425128
0.66,0.1803469688037839
0.67,0.1866592623868589
0.68,0.18692692602910954
0.6900000000000001,0.19077308129130027
0.7000000000000001,0.19678497838262546
0.71,0.20177989013502307
0.72,0.21360073279516792
0.73,0.22317518500164035
0.74,0.22548546541600242
0.75,0.23173884603363662
0.76,0.24314406821718493
0.77,0.26156767729587
0.78,0.26826294802421563
0.79,0.2859226761183098
0.8,0.30695325602790874
0.81,0.32273583941703105
0.8200000000000001,0.3524070227627887
0.8300000000000001,0.37100088890276334
0.84,0.43109287566372145
0.85,0.6365696652535462
0.86,0.9295319819277013
0.87,1.0630619469615852
0.88,1.075579649962257
0.89,1.189475908249728
0.9,1.3382804249971982
0.91,1.8528083527333918
0.92,1.995668753920059
0.93,2.0837605833998865
0.9400000000000001,2.242902461390323
0.9500000000000001,2.4284027371019206
0.96,6.949653706240627
0.97,15.944901451851921
0.98,20.890318777521742
0.99,32.65322208001657
1.0,67.10384841570284
