cdf,request_model_execution_time_normalized
0.0,0.031579322341805556
0.01,0.03214780244192564
0.02,0.03234442043389975
0.03,0.032507082604096946
0.04,0.03264948160320691
0.05,0.032844967411521424
0.06,0.03298569972225538
0.07,0.03309698118331565
0.08,0.03328654852244554
0.09,0.03344477082459092
0.1,0.03362277276056562
0.11,0.03387307862043057
0.12,0.03391812868755621
0.13,0.033953456691337064
0.14,0.03414839788937649
0.15,0.03424332939964822
0.16,0.03435191618347236
0.17,0.0344372724017539
0.18,0.03446210784006317
0.19,0.034498254397365716
0.2,0.034558762322219855
0.21,0.03464191271913867
0.22,0.034786787652808564
0.23,0.03485737526616753
0.24,0.03490173799836247
0.25,0.0349773615962915
0.26,0.03514251294105676
0.27,0.035218112556213245
0.28,0.03527008620736856
0.29,0.03532975841533453
0.3,0.035347934021387056
0.31,0.03538093296951583
0.32,0.03542008097510848
0.33,0.03544543414397771
0.34,0.035491372561485046
0.35000000000000003,0.03590071613939245
0.36,0.0359990966509331
0.37,0.036057946297126116
0.38,0.03609654990690585
0.39,0.03617591754952413
0.4,0.03630454187788231
0.41000000000000003,0.03640755425825813
0.42,0.036491019559171875
0.43,0.036649780202721804
0.44,0.036709007336346515
0.45,0.0368056660024057
0.46,0.03686323872168936
0.47000000000000003,0.03691554316468259
0.48,0.03693300628555054
0.49,0.036955496871122526
0.5,0.03703720546051041
0.51,0.03713050344517705
0.52,0.037382851312711164
0.53,0.037842109816976145
0.54,0.037870222168730434
0.55,0.038023618637861724
0.56,0.038372508109912024
0.5700000000000001,0.03849122524107867
0.58,0.03863876521912893
0.59,0.03888589630627581
0.6,0.039015526527660035
0.61,0.03905369870809875
0.62,0.03918937805146263
0.63,0.03936179944452053
0.64,0.039372182096792295
0.65,0.039384210105653746
0.66,0.03943780918644388
0.67,0.03958762120660308
0.68,0.039592837444389364
0.6900000000000001,0.0396337544244521
0.7000000000000001,0.03968459361697439
0.71,0.03974898306103374
0.72,0.03986899669769841
0.73,0.04004515791203487
0.74,0.04022595681689743
0.75,0.04043655854552032
0.76,0.04093019675128465
0.77,0.04200210110109358
0.78,0.042647178895780916
0.79,0.04391479159380061
0.8,0.04425963253686248
0.81,0.04455792805196857
0.8200000000000001,0.04520871332969315
0.8300000000000001,0.04581066813689468
0.84,0.04636855748047372
0.85,0.04694860530657169
0.86,0.04799219381062814
0.87,0.050114335635688595
0.88,0.050658506309613764
0.89,0.05401859695752069
0.9,0.058190380493776825
0.91,0.0593110009383339
0.92,0.06118461822906441
0.93,0.06436241433985243
0.9400000000000001,0.07940116278548066
0.9500000000000001,0.11163763700504761
0.96,0.2635803901755681
0.97,0.5068004992720947
0.98,0.579416749455839
0.99,0.7504333016536077
1.0,1.3809890093947954
