cdf,request_execution_time
0.0,0.410743856566235
0.01,0.4817421721975595
0.02,0.5435415496467569
0.03,0.6786677733822589
0.04,0.7862137895871157
0.05,0.8371345609437166
0.06,0.9002070502760516
0.07,0.9662873791073814
0.08,1.1376725807293557
0.09,1.5574210577819803
0.1,1.6308319295229092
0.11,1.8475768438025975
0.12,2.046706080735787
0.13,2.1477437264533505
0.14,2.3128641712007854
0.15,3.138128914508803
0.16,3.6406523690116415
0.17,3.997909630461306
0.18,4.518406984276414
0.19,4.995660440554237
0.2,5.461502558161248
0.21,5.838379292124355
0.22,6.561345698483774
0.23,7.030795479166692
0.24,7.693963826617002
0.25,7.888084377511927
0.26,7.995718361232554
0.27,8.438865540557956
0.28,8.949181137451324
0.29,9.235608680671948
0.3,9.362245023552083
0.31,9.461356304591764
0.32,9.571886475566753
0.33,9.682952705757561
0.34,10.169185118908674
0.35000000000000003,11.13375341004336
0.36,11.413195178888039
0.37,11.571946288618292
0.38,11.666229345929361
0.39,11.773906399895731
0.4,11.90208427203368
0.41000000000000003,12.01143874812612
0.42,12.177363854570647
0.43,12.412579017263816
0.44,12.524633901653559
0.45,12.596560509753468
0.46,12.73748828075906
0.47000000000000003,13.049838032077204
0.48,13.185848039869864
0.49,13.23128349513172
0.5,13.339309867426529
0.51,13.491923655239553
0.52,13.743108047042666
0.53,14.11334579656098
0.54,14.191495751701513
0.55,14.262033361102624
0.56,14.292530743359267
0.5700000000000001,14.327484134077906
0.58,14.619183434720316
0.59,14.71264179683104
0.6,14.75538992299618
0.61,15.296120939501186
0.62,16.05050670698113
0.63,16.456406510013515
0.64,16.647435769915848
0.65,16.945766111580845
0.66,16.98628988609736
0.67,17.00542797195706
0.68,17.391484062039478
0.6900000000000001,17.658907503593525
0.7000000000000001,17.951436003972937
0.71,18.487860068445453
0.72,18.847028868315896
0.73,18.982067114167805
0.74,19.077139450019658
0.75,19.13644936765262
0.76,19.345195068289627
0.77,19.96903578414227
0.78,20.081517689239234
0.79,20.15916798321858
0.8,20.21861133408794
0.81,20.341764811040985
0.8200000000000001,20.544223827018303
0.8300000000000001,20.756634345968116
0.84,20.951754541847247
0.85,21.150286149725247
0.86,21.398762295063257
0.87,21.86462561349993
0.88,22.841008294288468
0.89,23.532964801280084
0.9,23.86889013980265
0.91,23.93390749701215
0.92,24.55948999873992
0.93,24.85420756944521
0.9400000000000001,25.094390959784526
0.9500000000000001,25.61011836221496
0.96,26.86258943998659
0.97,28.807773561931118
0.98,30.211008275839184
0.99,31.24686992821289
1.0,33.54295652345548
