cdf,batch_num_prefill_tokens,replica
0.0,0.0,0
0.01,487.92238360521986,0
0.02,487.92238360521986,0
0.03,497.7794014558298,0
0.04,497.7794014558298,0
0.05,497.7794014558298,0
0.06,497.7794014558298,0
0.07,497.7794014558298,0
0.08,497.7794014558298,0
0.09,497.7794014558298,0
0.1,497.7794014558298,0
0.11,497.7794014558298,0
0.12,497.7794014558298,0
0.13,497.7794014558298,0
0.14,497.7794014558298,0
0.15,497.7794014558298,0
0.16,497.7794014558298,0
0.17,497.7794014558298,0
0.18,497.7794014558298,0
0.19,497.7794014558298,0
0.2,497.7794014558298,0
0.21,497.7794014558298,0
0.22,497.7794014558298,0
0.23,497.7794014558298,0
0.24,497.7794014558298,0
0.25,497.7794014558298,0
0.26,497.7794014558298,0
0.27,497.7794014558298,0
0.28,497.7794014558298,0
0.29,497.7794014558298,0
0.3,497.7794014558298,0
0.31,497.7794014558298,0
0.32,497.7794014558298,0
0.33,497.7794014558298,0
0.34,497.7794014558298,0
0.35000000000000003,497.7794014558298,0
0.36,497.7794014558298,0
0.37,497.7794014558298,0
0.38,497.7794014558298,0
0.39,497.7794014558298,0
0.4,497.7794014558298,0
0.41000000000000003,497.7794014558298,0
0.42,497.7794014558298,0
0.43,497.7794014558298,0
0.44,497.7794014558298,0
0.45,497.7794014558298,0
0.46,497.7794014558298,0
0.47000000000000003,497.7794014558298,0
0.48,497.7794014558298,0
0.49,497.7794014558298,0
0.5,497.7794014558298,0
0.51,497.7794014558298,0
0.52,497.7794014558298,0
0.53,497.7794014558298,0
0.54,497.7794014558298,0
0.55,497.7794014558298,0
0.56,497.7794014558298,0
0.5700000000000001,497.7794014558298,0
0.58,497.7794014558298,0
0.59,497.7794014558298,0
0.6,507.8355509801901,0
0.61,507.8355509801901,0
0.62,507.8355509801901,0
0.63,507.8355509801901,0
0.64,507.8355509801901,0
0.65,507.8355509801901,0
0.66,507.8355509801901,0
0.67,507.8355509801901,0
0.68,507.8355509801901,0
0.6900000000000001,507.8355509801901,0
0.7000000000000001,507.8355509801901,0
0.71,507.8355509801901,0
0.72,507.8355509801901,0
0.73,507.8355509801901,0
0.74,507.8355509801901,0
0.75,507.8355509801901,0
0.76,507.8355509801901,0
0.77,507.8355509801901,0
0.78,507.8355509801901,0
0.79,507.8355509801901,0
0.8,507.8355509801901,0
0.81,507.8355509801901,0
0.8200000000000001,507.8355509801901,0
0.8300000000000001,507.8355509801901,0
0.84,507.8355509801901,0
0.85,507.8355509801901,0
0.86,507.8355509801901,0
0.87,507.8355509801901,0
0.88,507.8355509801901,0
0.89,507.8355509801901,0
0.9,507.8355509801901,0
0.91,507.8355509801901,0
0.92,507.8355509801901,0
0.93,507.8355509801901,0
0.9400000000000001,507.8355509801901,0
0.9500000000000001,507.8355509801901,0
0.96,507.8355509801901,0
0.97,507.8355509801901,0
0.98,507.8355509801901,0
0.99,507.8355509801901,0
1.0,507.8355509801901,0
