cdf,prefill_e2e_time
0.0,0.04220120359889323
0.01,0.042936256423908255
0.02,0.043671309248923276
0.03,0.04449738613572787
0.04,0.04564204723879598
0.05,0.04678670834186409
0.06,0.047640765567988484
0.07,0.04813156794793322
0.08,0.04862237032787796
0.09,0.05114414534059428
0.1,0.054681406669696384
0.11,0.0582186679987985
0.12,0.06004558756446464
0.13,0.06165871440970129
0.14,0.06316059959995186
0.15,0.06377255155031385
0.16,0.06438450350067583
0.17,0.06536928346536626
0.18,0.0670997194587136
0.19,0.06883015545206092
0.2,0.07554425526989164
0.21,0.08624528614730904
0.22,0.09694631702472647
0.23,0.09934750063344247
0.24,0.09937729930824375
0.25,0.09940709798304503
0.26,0.1004213295822646
0.27,0.10143556118148418
0.28,0.10276468938133093
0.29,0.1051959556833728
0.3,0.10762722198541468
0.31,0.10994160885094857
0.32,0.11210989642084747
0.33,0.1142781839907464
0.34,0.11745880974997838
0.35000000000000003,0.12114560460387692
0.36,0.12483239945777547
0.37,0.12557792798955603
0.38,0.12595579823107184
0.39,0.126295182187056
0.4,0.12632667585878696
0.41000000000000003,0.12635816953051793
0.42,0.1270350002141116
0.43,0.1290025049214306
0.44,0.13097000962874958
0.45,0.13261750516895993
0.46,0.1340089933754834
0.47000000000000003,0.13540048158200682
0.48,0.1357380800027704
0.49,0.135774567056174
0.5,0.1358110541095776
0.51,0.1362451771340541
0.52,0.13667930015853058
0.53,0.1377061399731116
0.54,0.14080748855305836
0.55,0.14390883713300512
0.56,0.1461652975936246
0.5700000000000001,0.14736564790508494
0.58,0.14856599821654526
0.59,0.1569730456418449
0.6,0.16898344162406423
0.61,0.1809938376062837
0.62,0.1849067809016608
0.63,0.1878075426111826
0.64,0.19081218453799192
0.65,0.19464786820310123
0.66,0.19848355186821048
0.67,0.20385235137047056
0.68,0.21228738254703222
0.6900000000000001,0.2207224137235938
0.7000000000000001,0.22794037512633197
0.71,0.2341846807100112
0.72,0.2404289862936904
0.73,0.2425473765108483
0.74,0.24348693376614292
0.75,0.24442649102143754
0.76,0.25354459039218635
0.77,0.2626626897629352
0.78,0.2750325319922258
0.79,0.2987834742264118
0.8,0.3225344164605979
0.81,0.33575728636174923
0.8200000000000001,0.33582006584660723
0.8300000000000001,0.3358828453314653
0.84,0.3362470203644408
0.85,0.3367618931714752
0.86,0.33727676597850953
0.87,0.3421593528810498
0.88,0.3475879040455283
0.89,0.3569024344948951
0.9,0.3973047992233689
0.91,0.43770716395184267
0.92,0.46803780889852054
0.93,0.47822501428160546
0.9400000000000001,0.4884122196646902
0.9500000000000001,0.4997262064237804
0.96,0.5119416182836751
0.97,0.5241570301435696
0.98,0.5411347867497608
0.99,0.5594732132834651
1.0,0.5778116398171695
