cdf,request_model_execution_time
0.0,0.12109982167576791
0.01,0.3894873671762974
0.02,0.5448076713215971
0.03,0.7571458198934418
0.04,0.8352819529054047
0.05,0.9066247542151002
0.06,0.9847696241837788
0.07,1.0582465894704107
0.08,1.1959557397311489
0.09,1.4115554034010713
0.1,1.5224236157322
0.11,1.7299383932537469
0.12,1.808296876375359
0.13,2.026788751086256
0.14,2.3865699667223224
0.15,2.700858124602835
0.16,3.121621697015078
0.17,3.806339719458984
0.18,4.152424992101177
0.19,4.417667779688893
0.2,4.796838692803171
0.21,5.100291136235066
0.22,5.607986040661502
0.23,5.906661741988924
0.24,6.23079835798319
0.25,6.46300737212002
0.26,7.054119789528941
0.27,7.449769097244626
0.28,7.982197502179361
0.29,8.417189314235603
0.3,8.692836607250769
0.31,9.059299446294565
0.32,9.491713416111589
0.33,10.029405574111452
0.34,10.460089614976136
0.35000000000000003,10.66490334235347
0.36,10.882610535003922
0.37,10.998886706071138
0.38,11.37919556244431
0.39,11.562194565019444
0.4,11.883517087190604
0.41000000000000003,12.137829009518791
0.42,12.297154287949589
0.43,12.583428767591661
0.44,12.835107930790565
0.45,13.137783990252762
0.46,13.36131165596726
0.47000000000000003,13.795790642301174
0.48,13.924378568304535
0.49,14.324362964667857
0.5,14.532457528332454
0.51,14.783894879468017
0.52,15.089424524266414
0.53,15.26781682578009
0.54,15.719088054037998
0.55,15.977949395186304
0.56,16.130457018549
0.5700000000000001,16.30246793094315
0.58,16.831184113155633
0.59,17.153157483320566
0.6,17.419669239659463
0.61,17.676480493880607
0.62,17.963156549568225
0.63,18.040014431674514
0.64,18.149831046454317
0.65,18.353891234027937
0.66,18.683323282745018
0.67,18.86483876283643
0.68,19.35197148730357
0.6900000000000001,19.745404366692487
0.7000000000000001,19.82420632059569
0.71,20.101392321826467
0.72,20.33050473793445
0.73,20.573636936474536
0.74,20.72604920192687
0.75,20.999336636302512
0.76,21.17855436251496
0.77,21.31666922163154
0.78,21.714362659046888
0.79,22.016757017229164
0.8,22.596422084565116
0.81,22.74811586711661
0.8200000000000001,23.115687118322686
0.8300000000000001,23.36677552456422
0.84,23.650604504736698
0.85,24.06310405501289
0.86,24.515897475839743
0.87,25.26698902831244
0.88,25.572990270794875
0.89,25.907165547350267
0.9,26.192424643770472
0.91,26.647068805371536
0.92,27.24648112815176
0.93,27.712707775423187
0.9400000000000001,28.621107092494007
0.9500000000000001,29.66270822511885
0.96,30.8731913926438
0.97,32.29311306625754
0.98,33.57730697181909
0.99,42.845732213168716
1.0,81.90035651663331
