cdf,request_execution_time_normalized,replica
0.0,0.012351290693404099,0
0.01,0.014099353100353007,0
0.02,0.016128034246002388,0
0.03,0.021448508096364585,0
0.04,0.02440579034336629,0
0.05,0.027578523567321163,0
0.06,0.029132833825160725,0
0.07,0.0309554915628351,0
0.08,0.03145009115990961,0
0.09,0.03184771140272492,0
0.1,0.03194087274793046,0
0.11,0.032207939467877984,0
0.12,0.032404653398590826,0
0.13,0.03272294543931206,0
0.14,0.03296327347426178,0
0.15,0.033337746345059815,0
0.16,0.03349421443329019,0
0.17,0.03354316482981176,0
0.18,0.033795963061843244,0
0.19,0.03398943743888908,0
0.2,0.034130971438589286,0
0.21,0.03426949013203823,0
0.22,0.03430992006731005,0
0.23,0.034380049867864526,0
0.24,0.03456898431731286,0
0.25,0.0347153757323084,0
0.26,0.03494555825896769,0
0.27,0.035052832903631766,0
0.28,0.03526741477498128,0
0.29,0.03551840282406241,0
0.3,0.03570504006729516,0
0.31,0.03584652403206857,0
0.32,0.036164135400991546,0
0.33,0.03622663881187121,0
0.34,0.03627487142293474,0
0.35000000000000003,0.03643941495594534,0
0.36,0.0366034877253889,0
0.37,0.03694388659330173,0
0.38,0.03697563022344577,0
0.39,0.03706985746659454,0
0.4,0.037150478169611915,0
0.41000000000000003,0.03720626133135844,0
0.42,0.03747411382055935,0
0.43,0.037743157492558764,0
0.44,0.037998846333398444,0
0.45,0.038162149641297494,0
0.46,0.038214314719279406,0
0.47000000000000003,0.03857788269804429,0
0.48,0.038715039930652624,0
0.49,0.03887774706237989,0
0.5,0.03896888339280549,0
0.51,0.0392582369786815,0
0.52,0.03937451887701488,0
0.53,0.03971533571057395,0
0.54,0.039992392420851564,0
0.55,0.040370008587048506,0
0.56,0.040504190693931706,0
0.5700000000000001,0.04089783326716763,0
0.58,0.04116798648445203,0
0.59,0.041225136589814144,0
0.6,0.04139147816005981,0
0.61,0.041592238829542084,0
0.62,0.042142787470864904,0
0.63,0.042717063143836546,0
0.64,0.04329988138398476,0
0.65,0.04392337311085787,0
0.66,0.044500133696574684,0
0.67,0.04483477210080512,0
0.68,0.04539753303532188,0
0.6900000000000001,0.045790903785187125,0
0.7000000000000001,0.04595235173945446,0
0.71,0.04635374163313577,0
0.72,0.047521222312679884,0
0.73,0.04788458621456471,0
0.74,0.04801062955074235,0
0.75,0.04832049371790906,0
0.76,0.048880175963205506,0
0.77,0.049396700144406565,0
0.78,0.050204259360595735,0
0.79,0.05047652963950051,0
0.8,0.050636649421365136,0
0.81,0.05094700679009558,0
0.8200000000000001,0.051525599667472166,0
0.8300000000000001,0.05187824562062319,0
0.84,0.0520281898741643,0
0.85,0.05242654838795448,0
0.86,0.054654881976809996,0
0.87,0.05550275710978472,0
0.88,0.05795530138883723,0
0.89,0.05890602344486544,0
0.9,0.061022400746104086,0
0.91,0.063314349716657,0
0.92,0.0646431878097651,0
0.93,0.0658415912391093,0
0.9400000000000001,0.07436781621093023,0
0.9500000000000001,0.08359508692647201,0
0.96,0.0945421496200453,0
0.97,0.12239918104220832,0
0.98,0.1871131982584823,0
0.99,0.37363056170988557,0
1.0,0.5102698770096249,0
0.0,0.01024276641867483,1
0.01,0.012252842211677325,1
0.02,0.01440141278630375,1
0.03,0.021171951802621405,1
0.04,0.024532355289320924,1
0.05,0.029330623812844805,1
0.06,0.031089397290823374,1
0.07,0.03252944710720178,1
0.08,0.032634639978256184,1
0.09,0.03267844916248598,1
0.1,0.033098460642434435,1
0.11,0.03317053918162208,1
0.12,0.03323160996171547,1
0.13,0.03346526050137603,1
0.14,0.03375672218757959,1
0.15,0.0339719379358326,1
0.16,0.03439070658432067,1
0.17,0.03455822953464147,1
0.18,0.03471191346737064,1
0.19,0.03494766653268393,1
0.2,0.03506099364164598,1
0.21,0.03519908275107269,1
0.22,0.03543341820687501,1
