cdf,request_execution_plus_preemption_time_normalized
0.0,0.01024276641867483
0.01,0.012918661573900416
0.02,0.015249401342631985
0.03,0.0210042947792849
0.04,0.024072848144136072
0.05,0.027807377181502415
0.06,0.030095568275173835
0.07,0.031402735696673366
0.08,0.031864855680104366
0.09,0.032220778694262736
0.1,0.03254321292393483
0.11,0.032682977354883166
0.12,0.03303135754588967
0.13,0.033172883016621336
0.14,0.033387622303734515
0.15,0.03349786006526315
0.16,0.033766706349896675
0.17,0.03394742788618782
0.18,0.03421915665296043
0.19,0.03432990868122464
0.2,0.0344248856688695
0.21,0.03462207692989554
0.22,0.03480894955536674
0.23,0.03500932705965619
0.24,0.03508844047542816
0.25,0.03528737822979961
0.26,0.03557637313738989
0.27,0.03570222451314822
0.28,0.03589835027258857
0.29,0.036171708125710904
0.3,0.0362655214321858
0.31,0.03644018183464324
0.32,0.036651541713548064
0.33,0.036968673423514044
0.34,0.037092210025521044
0.35000000000000003,0.03719729901274728
0.36,0.03739658963110185
0.37,0.0374809041663058
0.38,0.03767070420840821
0.39,0.037989249034782555
0.4,0.038178048874867615
0.41000000000000003,0.03835563985861334
0.42,0.038671993296094276
0.43,0.03886088164192932
0.44,0.038952007948987566
0.45,0.03925449897456585
0.46,0.03934940825141125
0.47000000000000003,0.03960940225197769
0.48,0.0397839494223894
0.49,0.03999920246697984
0.5,0.04031385654435456
0.51,0.04047936927046529
0.52,0.04064106302189883
0.53,0.040858245101154364
0.54,0.04107577717762455
0.55,0.04123621455579494
0.56,0.04138272355250496
0.5700000000000001,0.04157608777769758
0.58,0.041739152607904666
0.59,0.04218231687945465
0.6,0.0424227092786346
0.61,0.04297596170704315
0.62,0.04320073801761973
0.63,0.04377677915103661
0.64,0.043995113919977555
0.65,0.04422022671255091
0.66,0.044632707001722546
0.67,0.04500531275910666
0.68,0.04540400028300082
0.6900000000000001,0.04585712225672275
0.7000000000000001,0.046278323523828734
0.71,0.04667562126593648
0.72,0.047267904229032244
0.73,0.04761549300667861
0.74,0.04784343345359987
0.75,0.04804469331895573
0.76,0.048338002290716595
0.77,0.048622185728451756
0.78,0.04927183501856896
0.79,0.04962588899458549
0.8,0.050228215475266166
0.81,0.05058451793496988
0.8200000000000001,0.05100252383950742
0.8300000000000001,0.051510604182482406
0.84,0.051907529485390486
0.85,0.05234572406783985
0.86,0.0531345427823764
0.87,0.054399831883715166
0.88,0.055898319089629764
0.89,0.05790422712209437
0.9,0.05888443282330074
0.91,0.05998280658801062
0.92,0.06221745081270905
0.93,0.06483839563648386
0.9400000000000001,0.0706893854876823
0.9500000000000001,0.08485544921040082
0.96,0.09815049425617163
0.97,0.128211307048558
0.98,0.23030029216631318
0.99,0.46531066578822067
1.0,1.524199415670634
