Time (sec),request_completion
1.303608856842953,1
5.140236402646314,2
6.159345870256575,3
6.691712082091373,4
9.88584430324666,5
9.88584430324666,6
11.719447156620639,7
12.707328263264609,8
13.173423474553314,9
15.880190825736717,10
16.109957829585667,11
16.293449328959223,12
17.360209481150406,13
18.85601580325816,14
19.29318998657206,15
19.733035112086874,16
20.023727049768773,17
20.280582264579895,18
20.479482095400233,19
20.985662250553858,20
21.94059225505094,21
22.170414756298666,22
22.681601831688813,23
22.685824929847836,24
23.837965315042837,25
24.75914809567656,26
26.055740951702973,27
26.452564646550208,28
26.484526580721596,29
27.54108142072983,30
28.44000160402474,31
28.78958830012496,32
29.274792333898397,33
29.848424726052823,34
30.664566659565363,35
30.73523470454814,36
30.887825033800226,37
31.121369582828812,38
31.3592653707689,39
31.451581183962098,40
31.872428638602276,41
32.141740312000785,42
32.941935864072924,43
33.109089093756715,44
33.316955410245654,45
33.44912296331809,46
33.69361454138111,47
34.204493819570125,48
34.58649235089759,49
35.976853426699506,50
36.60510114199008,51
36.63869916696364,52
36.78440952628242,53
37.271785313285264,54
38.13350119289562,55
38.323533188465895,56
38.47401123333884,57
38.47401123333884,58
39.10773170509584,59
39.13346132191403,60
39.55979945073641,61
39.782786362082426,62
40.62158647380258,63
40.905586648143036,64
40.9466519444857,65
41.47876093455171,66
42.06488194037516,67
42.603000861877966,68
42.981346162947794,69
42.99302002031403,70
43.75123876605353,71
43.89018443682493,72
44.57939426129367,73
44.793495632563314,74
45.341051194668744,75
46.50447385549478,76
46.542330208537024,77
46.73766800834483,78
47.1824552280378,79
47.45270993101353,80
47.8142486204576,81
48.10691646318252,82
49.30420507995866,83
50.32851163225799,84
50.79899101935797,85
51.61771247925181,86
51.823153742904154,87
52.00296483737623,88
52.88665489150099,89
53.600070048364174,90
55.06257993250455,91
55.66761528259322,92
55.825908797875385,93
57.870881112992585,94
58.18743984988706,95
58.814591760032044,96
59.15952114595909,97
59.48118617992437,98
59.88891192207705,99
61.19303072050297,100
61.661514037988255,101
62.32449212299762,102
62.44569458301118,103
62.88027040492602,104
62.88027040492602,105
63.06295857904236,106
63.79647593728589,107
63.79647593728589,108
63.95760736311422,109
63.95760736311422,110
65.06215582131641,111
68.05503197261591,112
68.58050622749992,113
69.35492154050492,114
