cdf,request_e2e_time_normalized,replica
0.0,0.031848159203370925,0
0.01,0.03580745555552405,0
0.02,0.03859107390293682,0
0.03,0.043730813636161464,0
0.04,0.04627471513902735,0
0.05,0.050796219400924804,0
0.06,0.05747983499526226,0
0.07,0.06245147468257888,0
0.08,0.0642891983260554,0
0.09,0.06475185808167462,0
0.1,0.07061140218680222,0
0.11,0.07796595779791377,0
0.12,0.08255223944453698,0
0.13,0.08360320649984583,0
0.14,0.08718284572317292,0
0.15,0.08908253980501495,0
0.16,0.0965679306370512,0
0.17,0.09829511900014148,0
0.18,0.10386249662707209,0
0.19,0.10957714099061676,0
0.2,0.11709127607507398,0
0.21,0.12321262184064474,0
0.22,0.14032856265812635,0
0.23,0.1410997509458093,0
0.24,0.14290958284999453,0
0.25,0.1456736374079619,0
0.26,0.1507861294437996,0
0.27,0.15813468267556713,0
0.28,0.1657171690142142,0
0.29,0.1684773107851827,0
0.3,0.17635839131717113,0
0.31,0.18176277401971525,0
0.32,0.18426384873833176,0
0.33,0.19893482143768762,0
0.34,0.20324034119911533,0
0.35000000000000003,0.20765492990574452,0
0.36,0.20958556376319343,0
0.37,0.21102144734199899,0
0.38,0.2130595062061656,0
0.39,0.21928855343156722,0
0.4,0.23200890829015725,0
0.41000000000000003,0.23405004822319034,0
0.42,0.23819764137388832,0
0.43,0.24875874255319855,0
0.44,0.2525047848608405,0
0.45,0.25485710571244524,0
0.46,0.26288386583224427,0
0.47000000000000003,0.27195554960481577,0
0.48,0.28180138313824243,0
0.49,0.29177654455425456,0
0.5,0.3189790908881057,0
0.51,0.3274028545490337,0
0.52,0.33496955046777366,0
0.53,0.3444695600042127,0
0.54,0.34905469053821697,0
0.55,0.3631821305799672,0
0.56,0.38163807140414163,0
0.5700000000000001,0.38625883336891037,0
0.58,0.39125020373258895,0
0.59,0.39440843787823104,0
0.6,0.4046654847792154,0
0.61,0.4139070808769764,0
0.62,0.41917163784431927,0
0.63,0.43103802657687484,0
0.64,0.4368265945977283,0
0.65,0.4450915163198588,0
0.66,0.4532107194179531,0
0.67,0.4669833941384698,0
0.68,0.4789120717358124,0
0.6900000000000001,0.49287792640308103,0
0.7000000000000001,0.500741103911604,0
0.71,0.5131751795163587,0
0.72,0.5305050524998951,0
0.73,0.5384418395147241,0
0.74,0.5632487019505322,0
0.75,0.6001167518245071,0
0.76,0.6091493567537901,0
0.77,0.6339489209263424,0
0.78,0.6531251945064401,0
0.79,0.6924326379675423,0
0.8,0.7212880660516555,0
0.81,0.8009407391536764,0
0.8200000000000001,0.8691527621731155,0
0.8300000000000001,0.9577932348507534,0
0.84,1.0049643089056188,0
0.85,1.0187479366171277,0
0.86,1.1810103468732107,0
0.87,1.807612164004241,0
0.88,2.091568858944901,0
0.89,2.5445508609343115,0
0.9,2.6895414899345402,0
0.91,2.969484650615207,0
0.92,3.382151285072613,0
0.93,4.341029440576319,0
0.9400000000000001,4.651451029247266,0
0.9500000000000001,5.568721559534431,0
0.96,7.228760838799915,0
0.97,17.721883252304238,0
0.98,31.87399377182453,0
0.99,50.760279750127964,0
1.0,201.582051367377,0
0.0,0.03267236686212118,1
0.01,0.04243367927969687,1
0.02,0.051199745511248236,1
0.03,0.06316719325139256,1
0.04,0.06540647586331177,1
0.05,0.07315593170489297,1
0.06,0.08045378383288695,1
0.07,0.09174016125785707,1
0.08,0.09700388943448582,1
0.09,0.09854575893256971,1
0.1,0.10489636237402161,1
0.11,0.11693811915196957,1
0.12,0.12199163548008383,1
0.13,0.13226026005835498,1
0.14,0.13977260977100714,1
0.15,0.1451332775327619,1
0.16,0.15696845401815587,1
0.17,0.16437347023384893,1
0.18,0.16840370711017458,1
0.19,0.1724179025292084,1
0.2,0.1817242626265373,1
0.21,0.20258191836665615,1
0.22,0.21385858940905023,1
0.23,0.22806518591720443,1
0.24,0.23390429743313962,1
0.25,0.2388624228889597,1
0.26,0.24320277330168255,1
0.27,0.2480363249012288,1
0.28,0.25204990094413837,1
0.29,0.2616385635067685,1
0.3,0.2702353664904208,1
0.31,0.2749478521763335,1
0.32,0.2803601384149784,1
0.33,0.2877845912109466,1
0.34,0.294707787123811,1
0.35000000000000003,0.29714037676217575,1
0.36,0.30099405706577737,1
0.37,0.3102407126840374,1
0.38,0.3176922232859441,1
0.39,0.32328914449468743,1
0.4,0.3348435074050612,1
0.41000000000000003,0.3421153091879213,1
0.42,0.36272152995110873,1
0.43,0.37189302826703685,1
0.44,0.37968431843065975,1
0.45,0.3867485402410976,1
0.46,0.3978028774750615,1
0.47000000000000003,0.4022607506911564,1
0.48,0.40840779646041464,1
0.49,0.424328671535085,1
0.5,0.43858428847012576,1
0.51,0.4417818309564605,1
0.52,0.45069005659069267,1
0.53,0.4534138533979053,1
0.54,0.4646774706725293,1
0.55,0.4778864921418158,1
0.56,0.4881619958777837,1
0.5700000000000001,0.49099668851046746,1
0.58,0.49162324234784105,1
0.59,0.4969910164846413,1
0.6,0.5061410491715399,1
0.61,0.507581996105574,1
0.62,0.5094642820361374,1
0.63,0.5163144256042648,1
0.64,0.521027196540959,1
0.65,0.5308877026148406,1
0.66,0.5507395011217749,1
0.67,0.557776934352845,1
0.68,0.5768598159277485,1
0.6900000000000001,0.6061396607206133,1
0.7000000000000001,0.6453704404085611,1
0.71,0.6564892959598696,1
0.72,0.6626758291571246,1
0.73,0.6863176365978092,1
0.74,0.703666678239945,1
0.75,0.7327103019752434,1
0.76,0.7422398569965839,1
0.77,0.7720341338342341,1
0.78,0.8143766852294975,1
0.79,0.8723124605288347,1
0.8,0.9075304578077864,1
0.81,0.9410922004585573,1
0.8200000000000001,1.0738847332979038,1
0.8300000000000001,1.113415791960592,1
0.84,1.4799578407697616,1
0.85,1.5949531321608557,1
0.86,1.8327609666174824,1
0.87,2.5972876030586134,1
0.88,3.259324781004218,1
0.89,4.296884521660488,1
0.9,4.5507214302734456,1
0.91,5.468404583976815,1
0.92,7.188936275729505,1
0.93,8.625061492220517,1
0.9400000000000001,9.83497614176104,1
0.9500000000000001,11.657356946076167,1
0.96,13.585230565309976,1
0.97,22.188893221635833,1
0.98,31.11962400877164,1
0.99,50.113475651396946,1
1.0,66.03205339045822,1
