cdf,request_e2e_time
0.0,0.6392162418985441
0.01,6.1190197147870755
0.02,14.482984299757247
0.03,15.67440758373449
0.04,18.339116851678618
0.05,20.76787306916374
0.06,24.27811387914894
0.07,25.88474693109436
0.08,26.842070453112868
0.09,28.22757970376742
0.1,29.92948685806308
0.11,30.65452412778112
0.12,32.006082457438765
0.13,34.96119795760446
0.14,37.20626158494393
0.15,38.550505166955126
0.16,40.73565784280676
0.17,42.848466017632866
0.18,44.879537855769094
0.19,46.538773779508396
0.2,48.29796041232295
0.21,50.247234603127566
0.22,53.519887368670105
0.23,60.53819737522934
0.24,63.0278763711676
0.25,64.45357070321046
0.26,67.529683865665
0.27,70.55515263735667
0.28,72.48499512952807
0.29,73.84880329213273
0.3,76.96832741543648
0.31,79.91159460418972
0.32,82.13538412026836
0.33,85.8622615984324
0.34,87.71504162184432
0.35000000000000003,89.68325975065513
0.36,92.13437299389169
0.37,93.3410642737874
0.38,95.50968121999364
0.39,97.40279479664527
0.4,101.4868547713776
0.41000000000000003,102.91740804873426
0.42,105.93544681544601
0.43,107.62306720873207
0.44,109.46305886957798
0.45,110.77298661872035
0.46,113.86678192326588
0.47000000000000003,119.77742200423074
0.48,124.63533248854442
0.49,128.0395325885481
0.5,129.8340156019648
0.51,132.09801052560277
0.52,133.5885520892812
0.53,136.59493456126594
0.54,138.70980132750813
0.55,141.11995593251024
0.56,142.38383805634427
0.5700000000000001,144.04422081947436
0.58,145.81446982985244
0.59,149.6522367759997
0.6,154.25193526661343
0.61,156.36638407367377
0.62,159.02351089599043
0.63,160.40984976475588
0.64,165.15783653102804
0.65,169.67704998415806
0.66,172.782392646948
0.67,174.70314565500885
0.68,176.3582950110044
0.6900000000000001,178.11844598342205
0.7000000000000001,179.14707029803427
0.71,180.25489161440703
0.72,185.57182841989612
0.73,187.70581887495067
0.74,190.04459155894784
0.75,194.02570189790848
0.76,196.9736542232262
0.77,197.8897155752567
0.78,198.73952839945358
0.79,199.80823134903707
0.8,201.26862818833717
0.81,203.65616769213125
0.8200000000000001,206.04324543461604
0.8300000000000001,207.90373081838183
0.84,208.37340482677476
0.85,209.6370014262372
0.86,213.81287135987876
0.87,218.13828644194953
0.88,221.4047084190227
0.89,230.51242752290145
0.9,236.2469077326683
0.91,242.391120260288
0.92,245.91271571017506
0.93,256.20416720822806
0.9400000000000001,258.7201521145253
0.9500000000000001,260.7263102291122
0.96,263.43693873951486
0.97,264.12296289246257
0.98,264.64316266157255
0.99,266.3808067719244
1.0,277.0922308158468
