cdf,prefill_e2e_time,replica
0.0,0.3644838595468453,0
0.01,1.0855644475621231,0
0.02,2.381786364169374,0
0.03,2.5095092051332886,0
0.04,4.863883044366658,0
0.05,5.214636174411872,0
0.06,5.456991255970732,0
0.07,6.91394182795947,0
0.08,7.147832787896752,0
0.09,7.670626054213598,0
0.1,11.142277588074968,0
0.11,12.486733923350167,0
0.12,13.650453256230893,0
0.13,14.97575216758836,0
0.14,16.82392743804967,0
0.15,18.11215432870823,0
0.16,21.334772164590106,0
0.17,22.173293772265808,0
0.18,28.084765197755427,0
0.19,30.381498292630447,0
0.2,30.520397162032438,0
0.21,31.114088501768883,0
0.22,32.40649889773074,0
0.23,33.49142797955466,0
0.24,35.03227162117913,0
0.25,37.090565481586765,0
0.26,39.52773263468146,0
0.27,43.57512751733997,0
0.28,44.601994178493946,0
0.29,45.56037017928004,0
0.3,45.76774126884567,0
0.31,46.02770198819023,0
0.32,46.33801827821843,0
0.33,47.56528781438401,0
0.34,47.775483843652374,0
0.35000000000000003,60.241818725690706,0
0.36,60.67847778246514,0
0.37,60.925160565167836,0
0.38,61.818085742921596,0
0.39,62.60965015562984,0
0.4,62.84454539161406,0
0.41000000000000003,64.79577164917912,0
0.42,67.13554178864648,0
0.43,67.8948641547498,0
0.44,71.58297334716904,0
0.45,72.10574599233058,0
0.46,73.36803100939893,0
0.47000000000000003,73.5889679940086,0
0.48,74.28139825530936,0
0.49,74.63844207924728,0
0.5,75.50596144315672,0
0.51,75.9547943809577,0
0.52,81.14774325573671,0
0.53,86.91896592208127,0
0.54,90.11321228338865,0
0.55,93.95424529654638,0
0.56,97.43479662905199,0
0.5700000000000001,98.99172523559199,0
0.58,100.24520735645423,0
0.59,101.39907315007757,0
0.6,102.78860909957731,0
0.61,105.30489118754056,0
0.62,107.1718968725666,0
0.63,107.89424332687241,0
0.64,124.32792182179617,0
0.65,128.44420600212618,0
0.66,130.2532063731654,0
0.67,130.5855316580203,0
0.68,130.75245889934075,0
0.6900000000000001,132.57803643281946,0
0.7000000000000001,133.24041251665682,0
0.71,135.04086828150628,0
0.72,135.3288970841046,0
0.73,135.96895971834067,0
0.74,136.9548657434226,0
0.75,138.1383132604564,0
0.76,138.41876688150882,0
0.77,144.32838620240736,0
0.78,155.11727251783162,0
0.79,157.05446762973253,0
0.8,158.47312656083045,0
0.81,159.81126526807506,0
0.8200000000000001,165.03767010099776,0
0.8300000000000001,166.29517908309677,0
0.84,170.63794792112176,0
0.85,172.45988998311486,0
0.86,173.1866079857247,0
0.87,173.7311156947446,0
0.88,173.9942573074286,0
0.89,174.2060171824353,0
0.9,175.8175068145507,0
0.91,176.9334723051453,0
0.92,186.71336579529552,0
0.93,195.1038110075148,0
0.9400000000000001,197.65625166656585,0
0.9500000000000001,199.2903998221878,0
0.96,200.95153893915727,0
0.97,201.32863476887937,0
0.98,201.57787537213574,0
0.99,202.06090566704756,0
1.0,204.02976837304183,0
0.0,0.1112497563646625,1
0.01,1.1460456579289489,1
0.02,11.854524859899362,1
