cdf,prefill_e2e_time_normalized,replica
0.0,5.0135331436980095e-05,0
0.01,7.311985585865593e-05,0
0.02,0.00017014516449421346,0
0.03,0.0002324136630256034,0
0.04,0.0003221000907471803,0
0.05,0.00048802934324369905,0
0.06,0.0005796353219854622,0
0.07,0.0007074273159700423,0
0.08,0.0007433902886882229,0
0.09,0.0008393169577112904,0
0.1,0.0010159836110457078,0
0.11,0.0010944470478097446,0
0.12,0.0011921391526139291,0
0.13,0.0012804276678223957,0
0.14,0.0013474021522128672,0
0.15,0.0015171308483606263,0
0.16,0.0016216220473886354,0
0.17,0.0017015532219168824,0
0.18,0.0017504613551060587,0
0.19,0.0019041396392651723,0
0.2,0.0020231977506837222,0
0.21,0.002175062213611312,0
0.22,0.0022948239086729083,0
0.23,0.002427524092303206,0
0.24,0.002529125942304682,0
0.25,0.0025936824935805245,0
0.26,0.002814811949952457,0
0.27,0.003074822546752695,0
0.28,0.0032578446040223115,0
0.29,0.0035948633024015684,0
0.3,0.0036465311265794975,0
0.31,0.00384065596056344,0
0.32,0.0039689613279527075,0
0.33,0.004143703789813582,0
0.34,0.004362783937424024,0
0.35000000000000003,0.004518237736038142,0
0.36,0.005032736751924394,0
0.37,0.005201991489643364,0
0.38,0.005474516558297383,0
0.39,0.005902537796392948,0
0.4,0.006031601063648753,0
0.41000000000000003,0.0062225787851470996,0
0.42,0.006342855295274501,0
0.43,0.0066887770127860065,0
0.44,0.006816824443977831,0
0.45,0.007007538558902773,0
0.46,0.007157359345179623,0
0.47000000000000003,0.0074300664547842935,0
0.48,0.007667528278351139,0
0.49,0.008019771059252914,0
0.5,0.008413516743476901,0
0.51,0.00896717110342928,0
0.52,0.009052647947001826,0
0.53,0.009351852524466485,0
0.54,0.009491556434824869,0
0.55,0.009548306631211721,0
0.56,0.00965321006860808,0
0.5700000000000001,0.010197642673206992,0
0.58,0.010795464075631813,0
0.59,0.010966088301550386,0
0.6,0.01122430774165207,0
0.61,0.011556846265936572,0
0.62,0.012112688214589579,0
0.63,0.012401471565936184,0
0.64,0.013437588997099039,0
0.65,0.013958432474420144,0
0.66,0.014357046078280571,0
0.67,0.015098850825779707,0
0.68,0.017083735966050624,0
0.6900000000000001,0.017949141699860043,0
0.7000000000000001,0.018189551453585973,0
0.71,0.01881183318075659,0
0.72,0.01920331851856749,0
0.73,0.01949550240527969,0
0.74,0.02085660172767514,0
0.75,0.021806812234871048,0
0.76,0.02311398257542305,0
0.77,0.02515680559916614,0
0.78,0.02567196203047902,0
0.79,0.026031031163272444,0
0.8,0.02775602765609719,0
0.81,0.02878724529294324,0
0.8200000000000001,0.03023046951017617,0
0.8300000000000001,0.03188462941717384,0
0.84,0.03250649092384745,0
0.85,0.03682051162228371,0
0.86,0.03957746835402759,0
0.87,0.04358376611855269,0
0.88,0.045386998420678004,0
0.89,0.04816421092288655,0
0.9,0.05188843133255665,0
0.91,0.06308566607705196,0
0.92,0.06650418684884964,0
0.93,0.06710753164201776,0
0.9400000000000001,0.06860792044568342,0
0.9500000000000001,0.08360976613374363,0
0.96,0.08552059692483517,0
0.97,0.09160190484116959,0
0.98,0.09539232715701555,0
0.99,0.11426599566240053,0
1.0,0.14238224675889993,0
0.0,3.9703696061621166e-05,1
0.01,5.722219779774664e-05,1
0.02,0.00017564690108385034,1
0.03,0.0006066684501833293,1
0.04,0.0009027682995683707,1
0.05,0.0009278908631045724,1
0.06,0.0009754180947400938,1
0.07,0.0011010794326109052,1
0.08,0.001169060612017259,1
0.09,0.0012331202352672411,1
0.1,0.001389039390068477,1
0.11,0.0015526805523091028,1
0.12,0.0017753062607328777,1
0.13,0.00199341852672291,1
0.14,0.0021673374215015148,1
0.15,0.002355908694167036,1
0.16,0.0024896032486719636,1
0.17,0.0026944198711025373,1
0.18,0.002872700411059014,1
0.19,0.0030527675859911875,1
0.2,0.003147192435171607,1
0.21,0.003303082968198954,1
0.22,0.004323979912567906,1
0.23,0.00480353679165839,1
0.24,0.0049380860499168445,1
0.25,0.0051761783842099954,1
0.26,0.005522604424250231,1
0.27,0.005772995486138439,1
0.28,0.006462271908579832,1
0.29,0.0066512722736414495,1
0.3,0.007079435128248504,1
0.31,0.007302071439300685,1
0.32,0.007473391617490631,1
0.33,0.007535202522476547,1
0.34,0.007761879447383331,1
0.35000000000000003,0.008044263739434952,1
0.36,0.008173192165279078,1
0.37,0.008340175137219817,1
0.38,0.008548211076122521,1
0.39,0.009439106719400793,1
0.4,0.009848306921846243,1
0.41000000000000003,0.010357460433287643,1
0.42,0.010841148202473469,1
0.43,0.011360758496063125,1
0.44,0.011444556842501329,1
0.45,0.011889633114965294,1
0.46,0.012348619891140947,1
0.47000000000000003,0.012880632790003338,1
0.48,0.012979275941876546,1
0.49,0.013311525711625716,1
0.5,0.013806461617654111,1
0.51,0.014845571999565908,1
0.52,0.015065602712892418,1
0.53,0.015582678448315363,1
0.54,0.01603849913481518,1
0.55,0.016345525421347675,1
0.56,0.017020369259486145,1
0.5700000000000001,0.018012767726360852,1
0.58,0.018520278817480817,1
0.59,0.01902860052796773,1
0.6,0.01923811707036112,1
0.61,0.019753499746979465,1
0.62,0.02028143221767949,1
0.63,0.02073143696112134,1
0.64,0.02166437909331802,1
0.65,0.022098968088390947,1
0.66,0.022662793818180177,1
0.67,0.023456491435551625,1
0.68,0.025060379627097455,1
0.6900000000000001,0.02551482431606219,1
0.7000000000000001,0.026480365052562137,1
0.71,0.027939163256612137,1
0.72,0.02882754300970599,1
0.73,0.03084440824628486,1
0.74,0.03550696094962607,1
0.75,0.03702989537319954,1
0.76,0.040116928839292805,1
0.77,0.04178372389224364,1
0.78,0.04254310600154609,1
0.79,0.04446964906459571,1
0.8,0.04646933728532244,1
0.81,0.049576616096915396,1
0.8200000000000001,0.05070895371071315,1
0.8300000000000001,0.05476037328608199,1
0.84,0.05634516359690082,1
0.85,0.06036824287697032,1
0.86,0.062230391751896035,1
0.87,0.063285737282267,1
0.88,0.06529088289791099,1
0.89,0.06709454162501194,1
0.9,0.08036650994130098,1
0.91,0.08940373028374454,1
0.92,0.09687198884578607,1
0.93,0.10660153040447032,1
0.9400000000000001,0.10970260371289715,1
0.9500000000000001,0.11128404127103456,1
0.96,0.12139819564259574,1
0.97,0.13380963613499555,1
0.98,0.14759230782808125,1
0.99,0.15886983136428445,1
1.0,0.18333065585653857,1
