cdf,batch_num_prefill_tokens,replica
0.0,0.0,0
0.01,0.0,0
0.02,0.0,0
0.03,0.0,0
0.04,0.0,0
0.05,0.0,0
0.06,0.0,0
0.07,0.0,0
0.08,0.0,0
0.09,0.0,0
0.1,0.0,0
0.11,0.0,0
0.12,0.0,0
0.13,0.0,0
0.14,0.0,0
0.15,0.0,0
0.16,0.0,0
0.17,0.0,0
0.18,0.0,0
0.19,0.0,0
0.2,0.0,0
0.21,0.0,0
0.22,0.0,0
0.23,0.0,0
0.24,0.0,0
0.25,0.0,0
0.26,487.92238360521986,0
0.27,487.92238360521986,0
0.28,487.92238360521986,0
0.29,487.92238360521986,0
0.3,487.92238360521986,0
0.31,487.92238360521986,0
0.32,487.92238360521986,0
0.33,487.92238360521986,0
0.34,487.92238360521986,0
0.35000000000000003,487.92238360521986,0
0.36,487.92238360521986,0
0.37,487.92238360521986,0
0.38,487.92238360521986,0
0.39,487.92238360521986,0
0.4,487.92238360521986,0
0.41000000000000003,487.92238360521986,0
0.42,487.92238360521986,0
0.43,487.92238360521986,0
0.44,487.92238360521986,0
0.45,497.7794014558298,0
0.46,497.7794014558298,0
0.47000000000000003,497.7794014558298,0
0.48,497.7794014558298,0
0.49,497.7794014558298,0
0.5,497.7794014558298,0
0.51,497.7794014558298,0
0.52,497.7794014558298,0
0.53,497.7794014558298,0
0.54,497.7794014558298,0
0.55,497.7794014558298,0
0.56,497.7794014558298,0
0.5700000000000001,497.7794014558298,0
0.58,497.7794014558298,0
0.59,497.7794014558298,0
0.6,497.7794014558298,0
0.61,497.7794014558298,0
0.62,497.7794014558298,0
0.63,497.7794014558298,0
0.64,497.7794014558298,0
0.65,497.7794014558298,0
0.66,497.7794014558298,0
0.67,497.7794014558298,0
0.68,497.7794014558298,0
0.6900000000000001,497.7794014558298,0
0.7000000000000001,497.7794014558298,0
0.71,497.7794014558298,0
0.72,497.7794014558298,0
0.73,497.7794014558298,0
0.74,497.7794014558298,0
0.75,497.7794014558298,0
0.76,497.7794014558298,0
0.77,497.7794014558298,0
0.78,497.7794014558298,0
0.79,497.7794014558298,0
0.8,497.7794014558298,0
0.81,497.7794014558298,0
0.8200000000000001,497.7794014558298,0
0.8300000000000001,497.7794014558298,0
0.84,497.7794014558298,0
0.85,497.7794014558298,0
0.86,497.7794014558298,0
0.87,507.8355509801901,0
0.88,507.8355509801901,0
0.89,507.8355509801901,0
0.9,507.8355509801901,0
0.91,507.8355509801901,0
0.92,507.8355509801901,0
0.93,507.8355509801901,0
0.9400000000000001,507.8355509801901,0
0.9500000000000001,507.8355509801901,0
0.96,507.8355509801901,0
0.97,507.8355509801901,0
0.98,507.8355509801901,0
0.99,507.8355509801901,0
1.0,507.8355509801901,0
