time_stats.attn_input_reshape.min,time_stats.attn_input_reshape.max,time_stats.attn_input_reshape.mean,time_stats.attn_input_reshape.median,time_stats.attn_input_reshape.std,time_stats.attn_kv_cache_save.min,time_stats.attn_kv_cache_save.max,time_stats.attn_kv_cache_save.mean,time_stats.attn_kv_cache_save.median,time_stats.attn_kv_cache_save.std,time_stats.attn_prefill.min,time_stats.attn_prefill.max,time_stats.attn_prefill.mean,time_stats.attn_prefill.median,time_stats.attn_prefill.std,time_stats.attn_decode.min,time_stats.attn_decode.max,time_stats.attn_decode.mean,time_stats.attn_decode.median,time_stats.attn_decode.std,time_stats.attn_output_reshape.min,time_stats.attn_output_reshape.max,time_stats.attn_output_reshape.mean,time_stats.attn_output_reshape.median,time_stats.attn_output_reshape.std,n_embd,n_q_head,n_kv_head,block_size,num_tensor_parallel_workers,max_model_len,batch_size,prefill_chunk_size,kv_cache_size,is_prefill,attention_backend
0.0,0.0,0.0,0.0,0.0,0.0015039999999999908,0.0017279999999999518,0.0015615999999999929,0.0015360000000000013,8.442179813292615e-05,0.005662999999999982,0.005887999999999977,0.005778799999999984,0.005823999999999984,9.629413273923776e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2048,32,4,16,1,4096,1,64,0,True,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.001535999999999973,0.0015360000000000013,0.0015359999999999957,0.0015360000000000013,1.1362521530871283e-17,0.0071999999999999885,0.0072329999999999756,0.007225799999999986,0.007232,1.290581264392037e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2048,32,4,16,1,4096,1,64,64,True,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.0015360000000000013,0.001568000000000012,0.0015488,0.0015360000000000013,1.5676734353810648e-05,0.013439999999999999,0.01353600000000003,0.0135104,0.013535999999999973,3.7318092127011366e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2048,32,4,16,1,4096,1,64,128,True,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.001535999999999973,0.0015679999999999837,0.001542399999999992,0.0015360000000000013,1.279999999999578e-05,0.013632000000000005,0.01379200000000003,0.013696000000000003,0.01369599999999997,5.354624169818836e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2048,32,4,16,1,4096,1,64,192,True,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.0015360000000000013,0.0015679999999999837,0.0015425999999999988,0.0015360000000000013,1.2705904139407382e-05,0.013567999999999985,0.013697000000000003,0.013619599999999999,0.013600999999999999,4.367424870561728e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2048,32,4,16,1,4096,1,64,256,True,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.0015360000000000013,0.001568000000000012,0.0015488000000000058,0.0015360000000000013,1.5676734353817607e-05,0.013567999999999985,0.013727999999999952,0.013682599999999998,0.01372599999999997,6.22819395972712e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2048,32,4,16,1,4096,1,64,320,True,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.0015039999999999908,0.0015360000000000013,0.0015231999999999971,0.0015360000000000013,1.5676734353817502e-05,0.013663999999999931,0.013791000000000025,0.013708599999999984,0.013664000000000016,5.549630618341562e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2048,32,4,16,1,4096,1,64,384,True,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.0015039999999999908,0.0015360000000000013,0.0015295999999999934,0.0015360000000000013,1.2800000000001373e-05,0.013663000000000012,0.013920000000000016,0.013798200000000007,0.01379200000000003,8.734620770245406e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2048,32,4,16,1,4096,1,64,448,True,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.0015349999999999967,0.001568000000000012,0.0015486000000000048,0.0015360000000000013,1.584424185627676e-05,0.013759999999999991,0.01392100000000002,0.013849399999999998,0.013855999999999995,5.5268797707209024e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2048,32,4,16,1,4096,1,64,512,True,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.0015360000000000013,0.0015999999999999944,0.0015553999999999974,0.0015369999999999778,2.54527012318949e-05,0.01372800000000001,0.013919999999999988,0.01384340000000001,0.013857,6.593208627064444e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2048,32,4,16,1,4096,1,64,576,True,AttentionBackend.FLASHINFER
