time_stats.emb.min,time_stats.emb.max,time_stats.emb.mean,time_stats.emb.median,time_stats.emb.std,time_stats.input_layernorm.min,time_stats.input_layernorm.max,time_stats.input_layernorm.mean,time_stats.input_layernorm.median,time_stats.input_layernorm.std,time_stats.attn_pre_proj.min,time_stats.attn_pre_proj.max,time_stats.attn_pre_proj.mean,time_stats.attn_pre_proj.median,time_stats.attn_pre_proj.std,time_stats.attn_rope.min,time_stats.attn_rope.max,time_stats.attn_rope.mean,time_stats.attn_rope.median,time_stats.attn_rope.std,time_stats.attn_post_proj.min,time_stats.attn_post_proj.max,time_stats.attn_post_proj.mean,time_stats.attn_post_proj.median,time_stats.attn_post_proj.std,time_stats.post_attention_layernorm.min,time_stats.post_attention_layernorm.max,time_stats.post_attention_layernorm.mean,time_stats.post_attention_layernorm.median,time_stats.post_attention_layernorm.std,time_stats.mlp_up_proj.min,time_stats.mlp_up_proj.max,time_stats.mlp_up_proj.mean,time_stats.mlp_up_proj.median,time_stats.mlp_up_proj.std,time_stats.mlp_act.min,time_stats.mlp_act.max,time_stats.mlp_act.mean,time_stats.mlp_act.median,time_stats.mlp_act.std,time_stats.mlp_down_proj.min,time_stats.mlp_down_proj.max,time_stats.mlp_down_proj.mean,time_stats.mlp_down_proj.median,time_stats.mlp_down_proj.std,time_stats.add.min,time_stats.add.max,time_stats.add.mean,time_stats.add.median,time_stats.add.std,n_head,n_kv_head,n_embd,n_expanded_embd,vocab_size,use_gated_mlp,num_tokens,num_tensor_parallel_workers
0.007392,0.017824000000000003,0.01621633333333334,0.016640000000000002,0.002044074906216067,0.034624,0.037632,0.03704784999999999,0.0371355,0.0006202226434918345,0.182527,0.189951,0.1838791,0.1835035,0.001562329059449387,0.019327,0.019904,0.0195551,0.019535999999999998,0.00017958198684723373,0.133215,0.13872,0.13512405,0.13491150000000002,0.0013701802609510953,0.037344,0.03968,0.03875505,0.0388,0.0005693480899239054,0.409214,0.41587,0.41262990000000005,0.41289400000000004,0.0017869952686003308,0.040992,0.04224,0.041567749999999994,0.041536000000000003,0.00025132645602880745,0.186047,0.18937500000000002,0.18768544999999998,0.187839,0.0009980781770482703,0.013792,0.01488,0.014270350000000001,0.014224,0.00025158801143933707,32,4,2048,3072,151936,True,4096,1
0.007456000000000001,0.017567,0.016383857142857144,0.016864,0.0020706633233433815,0.034848,0.037791,0.037103849999999994,0.0372155,0.0005752843883680495,0.181535,0.184255,0.18294445,0.1830385,0.0007517582374008325,0.019168,0.019904,0.01951675,0.019504,0.0001681210501394755,0.133279,0.136191,0.13457349999999998,0.134719,0.0007820308497751245,0.038496,0.039456000000000005,0.038935750000000005,0.038863499999999995,0.0003167929726177655,0.40745400000000004,0.41183800000000004,0.4093399000000001,0.4089895,0.00126076266204231,0.041215,0.041728,0.041511700000000006,0.04152,0.00014946909379533912,0.18582300000000002,0.187135,0.18627405000000002,0.186174,0.00036788319817572177,0.013791000000000001,0.014656,0.0142159,0.01416,0.00023973691830838243,32,4,2048,3072,151936,True,4096,1
0.0072640000000000005,0.016672,0.015638857142857142,0.016128,0.001911054266148208,0.034079,0.037312,0.03683975,0.0369275,0.000656446941877255,0.17961600000000003,0.18352000000000002,0.1817433,0.181871,0.0010516882665505003,0.018976,0.019712,0.019350299999999997,0.019328,0.00017961461521825002,0.134272,0.13622399999999998,0.1351611,0.1350395,0.0005187223631192278,0.038079999999999996,0.038784,0.03844955,0.038432,0.000214511648867842,0.40966199999999997,0.411966,0.41054715,0.4104945,0.0005908511043401754,0.04112,0.041887,0.041489250000000005,0.04144,0.0001716659182831592,0.18534299999999998,0.187615,0.18644085,0.186591,0.0006805004243202214,0.013792,0.014719,0.0141231,0.014048,0.00026411245710870966,32,4,2048,3072,151936,True,4064,1
0.007232000000000001,0.017215,0.015821571428571428,0.016096,0.0019951198453423574,0.034176000000000005,0.037216,0.036659000000000004,0.036752,0.0006181190823781445,0.17974299999999999,0.18396700000000002,0.18183900000000003,0.181983,0.0011361901689418035,0.018816,0.019424,0.019107100000000002,0.019088,0.0001743106135609647,0.13311900000000002,0.13715100000000002,0.13473225,0.134687,0.0009038270229972137,0.037247999999999996,0.038496,0.038108699999999995,0.038127999999999995,0.0003014825202229816,0.43247800000000003,0.43459,0.43362965,0.43380550000000007,0.0006033243136986851,0.04396800000000001,0.045248,0.044643,0.044591500000000006,0.00027450173041348796,0.185279,0.188159,0.18638615,0.18614350000000002,0.0007791841422282661,0.013567000000000001,0.014816000000000001,0.01401105,0.0138875,0.00033873831714171355,32,4,2048,3072,151936,True,4032,1
0.007136,0.016576,0.015515476190476189,0.015808,0.0019140656957190225,0.033631999999999995,0.037087,0.036201300000000006,0.036272,0.0006687996785286315,0.177631,0.183872,0.18174200000000001,0.181695,0.0013834980303563875,0.018751999999999998,0.019392,0.01906225,0.019104,0.00015456095076053333,0.133056,0.137216,0.1345643,0.1343355,0.0009339282681234166,0.036927999999999996,0.038464,0.0378942,0.037999500000000005,0.000326518850910634,0.429183,0.433695,0.43118265000000006,0.4311025,0.0010446137216694087,0.043840000000000004,0.044704,0.044326250000000005,0.0444155,0.00023565289622663388,0.18419200000000002,0.186944,0.18577545,0.18588700000000002,0.0006040412630772792,0.013599,0.014784,0.014009500000000003,0.01392,0.00029967891150362925,32,4,2048,3072,151936,True,4000,1
0.007072,0.01584,0.01488914285714286,0.015168,0.0017916501116147035,0.033727,0.036704,0.036185350000000005,0.036304,0.0005987326845095396,0.17935900000000002,0.18204700000000001,0.18079114999999998,0.18068700000000001,0.0008374280431774396,0.018496,0.019136,0.018807900000000002,0.018799999999999997,0.00014700778890929566,0.133216,0.13968,0.13463445000000002,0.1343355,0.0014090803907158744,0.036735,0.038016,0.037625399999999996,0.037632,0.000268330840568132,0.427358,0.43151799999999996,0.4293051500000001,0.429182,0.0011886633364834559,0.042144,0.043104,0.0427278,0.042752000000000005,0.0002209944795690613,0.184511,0.187647,0.18590155000000003,0.18593500000000002,0.0008076373242365621,0.0136,0.01456,0.013927899999999998,0.013904,0.00022287236257553347,32,4,2048,3072,151936,True,3968,1
0.007072,0.016416,0.015065761904761903,0.015552,0.0018674852177590997,0.033184,0.036448,0.03587185,0.036031999999999995,0.0006587990038699208,0.17827099999999999,0.18175899999999998,0.18018475,0.18015899999999999,0.0008882465240573709,0.018144,0.018976,0.0186639,0.018656,0.00018707482460235,0.131935,0.13443100000000002,0.1334794,0.133583,0.0005785224628309629,0.036831,0.037536,0.037161349999999996,0.037136,0.0001923227170669134,0.42751799999999995,0.430782,0.42871005,0.428542,0.0008610724403324105,0.042176000000000005,0.043264000000000004,0.04269574999999999,0.042734999999999995,0.0002570124267423667,0.18361600000000003,0.186624,0.18489835000000004,0.184911,0.0007591733184853077,0.013375999999999999,0.014624000000000002,0.013840050000000001,0.013744,0.00034828271203147626,32,4,2048,3072,151936,True,3936,1
0.007232000000000001,0.017056,0.01550319047619048,0.015872,0.0019186418216825406,0.033248,0.036064,0.03520465000000001,0.035248,0.0006092416002703688,0.177823,0.18303899999999998,0.18067265,0.180703,0.0009420372219291518,0.017952000000000003,0.018688,0.0183743,0.018368,0.00016371319433692536,0.132255,0.134464,0.13344575,0.1334875,0.0006012729725341035,0.036607999999999995,0.03744,0.03703189999999999,0.037056,0.0002382773384105172,0.423166,0.427742,0.42533865000000004,0.425022,0.001105402789710611,0.040704000000000004,0.041504,0.041121349999999994,0.041231500000000004,0.00026948548662219173,0.182847,0.185631,0.1842166,0.184399,0.0008541422832292041,0.01344,0.014240000000000001,0.013774350000000001,0.013648,0.0002610971610339723,32,4,2048,3072,151936,True,3904,1
0.007072,0.015937,0.01503238095238095,0.015552,0.0018390324701602894,0.032672,0.035744,0.035196700000000004,0.035248,0.0006287680096824269,0.17731100000000002,0.18105500000000002,0.1796856,0.179727,0.0007391334385616709,0.017983000000000002,0.018401,0.018219149999999996,0.0182235,0.00012462033341313126,0.131712,0.13350399999999998,0.13274829999999999,0.13281500000000002,0.00041856852485584457,0.036064,0.036927,0.0365022,0.036463499999999996,0.00026671362919805994,0.421823,0.426046,0.42399354999999994,0.4240145,0.0010204452692329914,0.040352,0.041311,0.0408877,0.0408955,0.00021998229474210027,0.18396700000000002,0.186719,0.1856073,0.18561499999999997,0.0008051485639309036,0.013312,0.014048,0.013588750000000002,0.013488,0.0002135675244506994,32,4,2048,3072,151936,True,3872,1
0.007007,0.015841,0.014572095238095238,0.014976000000000001,0.0017483467539026938,0.032384,0.03568,0.035174250000000004,0.035376000000000005,0.0006791779498040258,0.17561500000000002,0.183327,0.17888385,0.179151,0.0015133313343415546,0.017408000000000003,0.018047999999999998,0.017798300000000003,0.017792000000000002,0.0001601861729363675,0.131743,0.135103,0.13387595000000002,0.134048,0.0008541004902820267,0.034272,0.035488,0.03490715,0.0349115,0.00029175696649780307,0.364926,0.369662,0.3665199,0.366526,0.0011012072874804306,0.041920000000000006,0.042848,0.04239985,0.0423515,0.0002527989863508152,0.184415,0.189855,0.18714305,0.18755100000000002,0.0014282854222808562,0.013023999999999999,0.013888000000000001,0.013443150000000001,0.013455499999999999,0.00024242055915289063,32,4,2048,3072,151936,True,3840,1
0.00688,0.0152,0.014436380952380949,0.01488,0.001728679553223334,0.032,0.035744,0.0350414,0.035184,0.0007323768428889601,0.176351,0.18003200000000003,0.17861529999999998,0.17871900000000002,0.000945139254290077,0.0176,0.017952000000000003,0.01775835,0.0177595,0.00010921047339884605,0.13254400000000002,0.135903,0.13385394999999997,0.1336155,0.000754412783229445,0.034144,0.034943,0.03457755,0.034464,0.00023669568542751226,0.362399,0.369055,0.36473295,0.3644305,0.0016531771373630906,0.041024000000000005,0.042784,0.042138999999999996,0.0421915,0.0004356374639536864,0.184864,0.189151,0.1869481,0.18673499999999998,0.0010859052859250695,0.012512,0.013664,0.013097399999999999,0.013023999999999999,0.000281609374843949,32,4,2048,3072,151936,True,3808,1
