Request Id,request_e2e_time,request_e2e_time_normalized,request_execution_time,request_execution_time_normalized,request_model_execution_time,request_model_execution_time_normalized,request_preemption_time,request_scheduling_delay,request_execution_plus_preemption_time,request_execution_plus_preemption_time_normalized,prefill_e2e_time,prefill_e2e_time_normalized,prefill_time_execution_plus_preemption,prefill_time_execution_plus_preemption_normalized,decode_time_execution_plus_preemption_normalized,request_inter_arrival_delay,request_num_tokens,request_num_prefill_tokens,request_num_prefill_tokens_cached,request_num_decode_tokens,request_pd_ratio,request_num_restarts,request_arrived_at,replica
29,42.525737,0.057082,25.167821,0.033782,25.167821,0.033782,0.000000,17.357916,25.167821,0.033782,17.730612,0.002850,0.372697,0.000060,0.033282,0.084188,6967,6222,512,745,8.351678,0,3.978737,1
30,5.886160,0.535105,0.701230,0.063748,0.701230,0.063748,0.000000,5.184930,0.701230,0.063748,5.622991,0.000726,0.438061,0.000057,0.023924,0.026546,7761,7750,512,11,704.545455,0,3.999684,0
31,37.921572,0.064934,20.386585,0.034909,20.386585,0.034909,0.000000,17.534987,20.386585,0.034909,18.200670,0.001675,0.665683,0.000061,0.033769,0.164573,11451,10867,512,584,18.607877,0,4.143310,1
32,26.421229,0.042961,21.143035,0.034379,21.143035,0.034379,0.000000,5.278194,21.143035,0.034379,5.385848,0.002708,0.107654,0.000054,0.034204,0.314321,2604,1989,512,615,3.234146,0,4.314005,0
33,29.897487,0.086911,12.276686,0.035688,12.276686,0.035688,0.000000,17.620801,12.276686,0.035688,18.650769,0.001175,1.029968,0.000065,0.032694,0.545695,16222,15878,512,344,46.156977,0,4.689005,1
34,15.542294,0.050299,10.607145,0.034327,10.607145,0.034327,0.000000,4.935149,10.607145,0.034327,5.147556,0.001192,0.212407,0.000049,0.033640,0.424283,4627,4318,512,309,13.974110,0,4.738289,0
35,19.041831,19.041831,0.536222,0.536222,0.536222,0.536222,0.000000,18.505609,0.536222,0.536222,19.041831,0.002051,0.536222,0.000058,0.000000,0.107129,9285,9284,512,1,9284.000000,0,4.796134,1
36,14.857646,0.062427,9.875536,0.041494,9.875536,0.041494,0.000000,4.982110,9.875536,0.041494,6.888691,0.000258,1.906581,0.000071,0.033483,0.137101,26906,26668,512,238,112.050420,0,4.875389,0
37,34.881138,0.077686,15.977356,0.035584,15.977356,0.035584,0.000000,18.903782,15.977356,0.035584,20.000428,0.001166,1.096646,0.000064,0.033142,0.105514,17596,17147,512,449,38.189310,0,4.901648,1
38,7.788284,0.251235,0.987881,0.031867,0.987881,0.031867,0.000000,6.800403,0.987881,0.031867,6.949993,0.002478,0.149590,0.000053,0.027042,0.043655,2836,2805,512,31,90.483871,0,4.919044,0
39,28.109332,0.117122,8.245435,0.034356,8.245435,0.034356,0.000000,19.863897,8.245435,0.034356,19.984478,0.012321,0.120581,0.000074,0.033854,0.098109,1862,1622,512,240,6.758333,0,4.999757,1
40,26.089443,0.047008,19.279543,0.034738,19.279543,0.034738,0.000000,6.809899,19.279543,0.034738,7.050725,0.001703,0.240826,0.000058,0.034304,0.112882,4695,4140,512,555,7.459459,0,5.031927,0
41,37.810907,0.072158,18.025280,0.034399,18.025280,0.034399,0.000000,19.785627,18.025280,0.034399,19.924309,0.007813,0.138681,0.000054,0.034135,0.170682,3074,2550,512,524,4.866412,0,5.170439,1
42,26.899458,0.045825,20.087610,0.034221,20.087610,0.034221,0.000000,6.811848,20.087610,0.034221,6.918398,0.002866,0.106550,0.000044,0.034039,0.210356,3001,2414,512,587,4.112436,0,5.242282,0
43,28.227853,0.124352,8.627418,0.038006,8.627418,0.038006,0.000000,19.600435,8.627418,0.038006,20.536444,0.001411,0.936009,0.000064,0.033883,0.295323,14780,14553,512,227,64.110132,0,5.465762,1
44,15.369293,0.064307,8.851784,0.037037,8.851784,0.037037,0.000000,6.517509,8.851784,0.037037,7.293494,0.000579,0.775985,0.000062,0.033790,0.374087,12846,12607,512,239,52.748954,0,5.616369,0
45,31.121228,0.096053,10.819947,0.033395,10.819947,0.033395,0.000000,20.301281,10.819947,0.033395,20.392559,0.012923,0.091279,0.000058,0.033113,0.197420,1902,1578,512,324,4.870370,0,5.663182,1
46,14.593133,0.071887,7.604464,0.037460,7.604464,0.037460,0.000000,6.988669,7.604464,0.037460,7.579134,0.000748,0.590465,0.000058,0.034552,0.269980,10330,10127,512,203,49.886700,0,5.886349,0
47,24.797283,0.236165,4.859226,0.046278,4.859226,0.046278,0.000000,19.938057,4.859226,0.046278,21.338199,0.001041,1.400142,0.000068,0.032944,0.427361,20593,20488,512,105,195.123810,0,6.090542,1
48,24.512753,0.050962,17.231906,0.035825,17.231906,0.035825,0.000000,7.280847,17.231906,0.035825,7.675441,0.001091,0.394595,0.000056,0.035005,0.265465,7518,7037,512,481,14.629938,0,6.151814,0
