cdf,request_scheduling_delay
0.0,0.0
0.01,0.7145271302818729
0.02,5.4581623918157
0.03,16.390228591170754
0.04,20.28852734529906
0.05,24.998756360455047
0.06,27.808680484579163
0.07,31.802082604353124
0.08,32.21760230077189
0.09,35.07647782587907
0.1,40.51860863520732
0.11,45.81471238603812
0.12,47.54119486111452
0.13,49.73579510433868
0.14,52.81912612655933
0.15,59.951900697020974
0.16,64.5983592428483
0.17,67.6702881545802
0.18,77.91048494087019
0.19,95.02426749287164
0.2,110.26808309232071
0.21,110.9752120325134
0.22,115.75852453837145
0.23,116.87879897660888
0.24,130.2958175032261
0.25,138.4534978286112
0.26,141.74767056733376
0.27,147.5589880393794
0.28,148.54602498346208
0.29,153.50888893683234
0.3,154.8833784969943
0.31,156.54545469350762
0.32,157.05866425434755
0.33,159.69300779313699
0.34,162.7500750614746
0.35000000000000003,174.58663241915133
0.36,185.9445603363188
0.37,188.73226753596592
0.38,197.52661454726564
0.39,200.15914940004578
0.4,202.46374544959752
0.41000000000000003,206.61396896338886
0.42,212.9080284832835
0.43,217.58811373618002
0.44,225.61367034004127
0.45,228.0038845318949
0.46,229.7130569063851
0.47000000000000003,242.80827620289264
0.48,247.9495068660362
0.49,255.42135713396812
0.5,257.6464225166925
0.51,259.5474197818519
0.52,262.81812940056585
0.53,272.35607450085746
0.54,277.16957097289855
0.55,282.21416038874736
0.56,286.29348373359005
0.5700000000000001,293.84985189943353
0.58,300.4383234108646
0.59,308.8704125748532
0.6,313.74755358455826
0.61,317.07483256618355
0.62,320.9623654471699
0.63,324.3656389048213
0.64,342.64913492613755
0.65,350.11912797530795
0.66,352.7159674637758
0.67,355.5539350606418
0.68,356.66647298578937
0.6900000000000001,359.9391268664527
0.7000000000000001,368.76502927250533
0.71,372.3233657312712
0.72,375.85768138370366
0.73,377.4184657688089
0.74,380.23807634956495
0.75,391.9660116934688
0.76,393.2944154560545
0.77,395.07100278559324
0.78,414.65561607781177
0.79,418.5407467423695
0.8,420.9764994074175
0.81,432.7841488307453
0.8200000000000001,446.5725735051013
0.8300000000000001,452.5663899551638
0.84,458.23387504101083
0.85,461.8788142597832
0.86,464.7746394922186
0.87,467.90052841951757
0.88,470.32406074028626
0.89,471.7102786353788
0.9,475.32645845940675
0.91,477.09562307669006
0.92,480.50066270447564
0.93,506.3910487278918
0.9400000000000001,509.84324308004926
0.9500000000000001,512.5495569938262
0.96,515.0867017422535
0.97,516.9063079194481
0.98,518.8027579731955
0.99,519.3190734438625
1.0,523.1374836515785
