cdf,request_model_execution_time_normalized
0.0,0.011030011862716505
0.01,0.016242313373387825
0.02,0.020187290350396264
0.03,0.029105759731175067
0.04,0.030829986976178007
0.05,0.031410224295093186
0.06,0.03185097991558813
0.07,0.03212061855929963
0.08,0.032395599467278685
0.09,0.032702038099996784
0.1,0.032895012237243136
0.11,0.03302955421298736
0.12,0.03324047454790452
0.13,0.033386872832942775
0.14,0.03359044520302111
0.15,0.03384675014993004
0.16,0.03400314013747068
0.17,0.03416483380020453
0.18,0.03432648788396653
0.19,0.034519290278492425
0.2,0.034564609587954175
0.21,0.034704384162737134
0.22,0.03483066848543455
0.23,0.03512710852146516
0.24,0.03531329621646081
0.25,0.035411927170988886
0.26,0.03555954332193191
0.27,0.035858103053067476
0.28,0.03608468146164988
0.29,0.03639863500373329
0.3,0.03652718094531017
0.31,0.0367248539852887
0.32,0.0369231888294996
0.33,0.03703008427356952
0.34,0.037348868883147056
0.35000000000000003,0.03746357339399513
0.36,0.03761110459718749
0.37,0.03782354778503443
0.38,0.0378961288780104
0.39,0.03814447264034142
0.4,0.03838905038693697
0.41000000000000003,0.038509604481299205
0.42,0.03865207217286758
0.43,0.03878437396902007
0.44,0.03897819002796565
0.45,0.03906971713348916
0.46,0.03928594553299341
0.47000000000000003,0.03940419384235649
0.48,0.03958049130572892
0.49,0.039670761282051846
0.5,0.03979822680762565
0.51,0.04022989800061112
0.52,0.040491978448392876
0.53,0.04069290091474643
0.54,0.040811699339690775
0.55,0.04102672636046693
0.56,0.04131615027011464
0.5700000000000001,0.04141184226625886
0.58,0.04161709603735899
0.59,0.041883211431145734
0.6,0.0423092661727943
0.61,0.042644703390296024
0.62,0.042892032410021624
0.63,0.04317070383323292
0.64,0.0437555010494531
0.65,0.044072199013928226
0.66,0.044307726917315424
0.67,0.044681879123115775
0.68,0.04503328850002267
0.6900000000000001,0.04546020470865268
0.7000000000000001,0.04585339711114905
0.71,0.046438619048888796
0.72,0.047280929619164885
0.73,0.04788219422621707
0.74,0.04865292216054284
0.75,0.04907075766903056
0.76,0.049554727762542335
0.77,0.05009671439801941
0.78,0.050605844803671286
0.79,0.05101694596781073
0.8,0.0512261444324433
0.81,0.05218716318672533
0.8200000000000001,0.05241050221654881
0.8300000000000001,0.05278006737528737
0.84,0.053310479883533005
0.85,0.0538023255922729
0.86,0.054744324277002585
0.87,0.0556465410156559
0.88,0.05687684663407602
0.89,0.057967958326413875
0.9,0.05946544849226436
0.91,0.06087834897355537
0.92,0.06233691112081205
0.93,0.06680589439487981
0.9400000000000001,0.07183425300215686
0.9500000000000001,0.08546259828478148
0.96,0.09442333104717737
0.97,0.12589600885724653
0.98,0.25077853521248356
0.99,0.45907356187867404
1.0,1.5595622439603651
