cdf,request_e2e_time
0.0,1.1214589084413478
0.01,20.174720138687775
0.02,23.59114004083649
0.03,29.262777630261365
0.04,32.32989217360954
0.05,35.65808291584602
0.06,39.397689545245
0.07,44.31568511693545
0.08,48.41645066061999
0.09,50.23659337056693
0.1,52.03854461178874
0.11,55.62417362536231
0.12,60.276870882951165
0.13,62.632447867066965
0.14,67.07556098233812
0.15,69.93738971001905
0.16,81.18840640149058
0.17,89.33901486529815
0.18,103.46748520441012
0.19,118.97807003081678
0.2,125.4971870285613
0.21,130.29573321116507
0.22,133.41241744669244
0.23,137.92994467994228
0.24,146.82787162981762
0.25,151.52550711056335
0.26,154.80355118119493
0.27,157.83999193797285
0.28,159.8737013545115
0.29,162.6746231629871
0.3,164.54784688638892
0.31,166.0489779611546
0.32,169.96582073549627
0.33,185.74698933647468
0.34,188.36758979333442
0.35000000000000003,192.77659765805868
0.36,199.560102256845
0.37,202.29533443254556
0.38,210.6607187043372
0.39,217.30708892595808
0.4,222.60014618646738
0.41000000000000003,227.19477020956396
0.42,229.64718580499672
0.43,231.6138636139727
0.44,241.93354522278779
0.45,245.9540488441549
0.46,250.82908488350327
0.47000000000000003,258.44961187465805
0.48,261.4695922117585
0.49,267.0287724640298
0.5,270.9045376680833
0.51,276.1762635477363
0.52,283.2188536240546
0.53,289.1520975573536
0.54,293.575739562393
0.55,300.9336835557987
0.56,307.88506743965246
0.5700000000000001,314.02564250752386
0.58,318.63730146143433
0.59,322.76136571863213
0.6,326.61085984067483
0.61,329.7769522977409
0.62,341.6541998915731
0.63,351.4806867115525
0.64,353.6366550819927
0.65,360.0892387977832
0.66,365.1209528662865
0.67,367.9474254779226
0.68,370.3836706567881
0.6900000000000001,375.52481441875545
0.7000000000000001,378.2466105340734
0.71,380.84117442622625
0.72,384.73037653657127
0.73,394.2051698694464
0.74,397.6793217929259
0.75,408.6897075533245
0.76,415.5213882294826
0.77,419.094913613064
0.78,425.7219592219405
0.79,437.9009607047061
0.8,442.51774521080824
0.81,452.9227291967996
0.8200000000000001,460.20458686790073
0.8300000000000001,461.85844616728275
0.84,469.58355881700174
0.85,473.9664487747093
0.86,477.80261041792494
0.87,482.18640589322405
0.88,487.6268074682636
0.89,493.5068987108643
0.9,498.30955472619934
0.91,502.06710444372186
0.92,509.3343809208652
0.93,516.0284476441122
0.9400000000000001,518.7508558773995
0.9500000000000001,522.8646933484545
0.96,524.4094895883101
0.97,525.8097307013581
0.98,526.9053228901086
0.99,527.4848171974411
1.0,529.208389104695
