cdf,request_execution_time
0.0,0.11590216882686978
0.01,0.38033349704100133
0.02,0.5743768136911309
0.03,0.7356133562617785
0.04,0.8519645159097768
0.05,0.9103260321159008
0.06,0.972120344046574
0.07,1.0644276663735488
0.08,1.2009455293146847
0.09,1.3625507454638834
0.1,1.5000326543433733
0.11,1.6933886726836156
0.12,1.8631699911419937
0.13,2.0178828028214015
0.14,2.372897532801685
0.15,2.70274304072924
0.16,3.3221936729517787
0.17,3.8584143335574437
0.18,4.182943315498106
0.19,4.7012286074017755
0.2,5.0014517429112235
0.21,5.391047458059236
0.22,5.753859203040909
0.23,6.18521063875512
0.24,6.574494667469802
0.25,7.101575166573012
0.26,7.386525884209355
0.27,7.909990849789917
0.28,8.18128495242155
0.29,8.47604920109349
0.3,9.333608832629007
0.31,9.534741542651165
0.32,10.043838374105443
0.33,10.404433126310131
0.34,10.90851338530329
0.35000000000000003,11.304367631725494
0.36,11.448484636793228
0.37,11.619790780457492
0.38,11.838130752154932
0.39,11.921805353464428
0.4,12.195907259455515
0.41000000000000003,12.584075026532467
0.42,12.832070433966441
0.43,13.165114001423268
0.44,13.305664173341404
0.45,13.628416396313426
0.46,14.009583011865503
0.47000000000000003,14.117039765440449
0.48,14.265434547593287
0.49,14.383609036854807
0.5,14.46539520683677
0.51,14.711180830597291
0.52,14.872456255663815
0.53,15.17568964738238
0.54,15.640372295426086
0.55,15.736634602909813
0.56,15.97286958869062
0.5700000000000001,16.27152320274581
0.58,16.591016579298106
0.59,16.91852098402291
0.6,17.213264665666777
0.61,17.427474785641184
0.62,17.65458007950107
0.63,17.709440462171933
0.64,17.905357217765193
0.65,18.188749038856294
0.66,18.705585619617906
0.67,18.930200671905357
0.68,19.10794336003306
0.6900000000000001,19.62632753477786
0.7000000000000001,19.922508065135016
0.71,20.091319193501775
0.72,20.334133183467735
0.73,20.596567853776733
0.74,20.739957256822272
0.75,21.002243999185197
0.76,21.251925280783315
0.77,21.67086050930598
0.78,21.787527771207166
0.79,21.981673570608525
0.8,22.353170074753955
0.81,22.771271473062743
0.8200000000000001,23.345346697337558
0.8300000000000001,23.616671833337506
0.84,23.920670137707837
0.85,24.7495285524586
0.86,25.07347461159792
0.87,25.296713315442936
0.88,25.88590297603991
0.89,26.16320827728282
0.9,26.80109874044259
0.91,27.516198654558313
0.92,28.18502676886121
0.93,29.509797907106773
0.9400000000000001,30.43716798933876
0.9500000000000001,31.110186023948707
0.96,31.567103964360268
0.97,32.84059473130402
0.98,34.59842081328882
0.99,41.65022307678071
1.0,88.5279615680769
