cdf,request_e2e_time,replica
0.0,1.6927913435215038,0
0.01,1.9014224280250125,0
0.02,2.1100535125285207,0
0.03,2.3186845970320293,0
0.04,2.527315681535538,0
0.05,2.7359467660390466,0
0.06,2.944577850542555,0
0.07,3.0976705541515885,0
0.08,3.1396864959716724,0
0.09,3.181702437791756,0
0.1,3.22371837961184,0
0.11,3.265734321431924,0
0.12,3.3077502632520077,0
0.13,3.3497662050720916,0
0.14,3.3890067013793432,0
0.15,3.426859474930179,0
0.16,3.4647122484810144,0
0.17,3.5025650220318503,0
0.18,3.5404177955826857,0
0.19,3.5782705691335215,0
0.2,3.6161233426843573,0
0.21,3.6396918790118327,0
0.22,3.663260415339308,0
0.23,3.6868289516667834,0
0.24,3.7103974879942587,0
0.25,3.733966024321734,0
0.26,3.7575345606492094,0
0.27,3.8118357309548365,0
0.28,3.9276021692167657,0
0.29,4.043368607478695,0
0.3,4.159135045740625,0
0.31,4.274901484002554,0
0.32,4.390667922264483,0
0.33,4.506434360526414,0
0.34,4.640300645732993,0
0.35000000000000003,4.783216854411896,0
0.36,4.926133063090799,0
0.37,5.069049271769704,0
0.38,5.211965480448608,0
0.39,5.354881689127513,0
0.4,5.497797897806416,0
0.41000000000000003,5.5332141207743115,0
0.42,5.568630343742207,0
0.43,5.604046566710102,0
0.44,5.639462789677998,0
0.45,5.674879012645892,0
0.46,5.7102952356137875,0
0.47000000000000003,5.768508911103569,0
0.48,5.872317491637125,0
0.49,5.97612607217068,0
0.5,6.079934652704235,0
0.51,6.183743233237791,0
0.52,6.287551813771346,0
0.53,6.391360394304901,0
0.54,6.473650571937795,0
0.55,6.5451815481203575,0
0.56,6.616712524302922,0
0.5700000000000001,6.688243500485485,0
0.58,6.759774476668047,0
0.59,6.831305452850611,0
0.6,6.902836429033174,0
0.61,6.907527749093762,0
0.62,6.91221906915435,0
0.63,6.916910389214938,0
0.64,6.921601709275526,0
0.65,6.926293029336115,0
0.66,6.930984349396703,0
0.67,7.053170950341633,0
0.68,7.410348113055241,0
0.6900000000000001,7.767525275768845,0
0.7000000000000001,8.124702438482453,0
0.71,8.481879601196058,0
0.72,8.839056763909666,0
0.73,9.196233926623274,0
0.74,9.374736402045391,0
0.75,9.463901533821764,0
0.76,9.553066665598136,0
0.77,9.642231797374507,0
0.78,9.731396929150879,0
0.79,9.82056206092725,0
0.8,9.90972719270362,0
0.81,10.060930543141772,0
0.8200000000000001,10.212133893579924,0
0.8300000000000001,10.363337244018076,0
0.84,10.51454059445623,0
0.85,10.665743944894382,0
0.86,10.816947295332534,0
0.87,10.928651180978799,0
0.88,10.961356137041282,0
0.89,10.994061093103767,0
0.9,11.026766049166252,0
0.91,11.059471005228735,0
0.92,11.09217596129122,0
0.93,11.124880917353705,0
0.9400000000000001,11.142304764949483,0
0.9500000000000001,11.15208805831191,0
0.96,11.161871351674337,0
0.97,11.171654645036764,0
0.98,11.18143793839919,0
0.99,11.191221231761618,0
1.0,11.201004525124045,0
0.0,3.3379346745122707,1
0.01,3.466042533554399,1
0.02,3.5941503925965277,1
0.03,3.722258251638656,1
0.04,3.8503661106807847,1
0.05,3.9784739697229137,1
0.06,4.106581828765042,1
0.07,4.1962754735548105,1
0.08,4.209140689839859,1
0.09,4.222005906124907,1
0.1,4.234871122409954,1
0.11,4.2477363386950024,1
0.12,4.260601554980051,1
0.13,4.273466771265099,1
0.14,4.8789156344252955,1
0.15,5.780656321023065,1
0.16,6.6823970076208346,1
0.17,7.584137694218606,1
0.18,8.485878380816374,1
0.19,9.387619067414146,1
0.2,10.289359754011915,1
