cdf,prefill_time_execution_plus_preemption,replica
0.0,0.04083035924669076,0
0.01,0.04882171353553355,0
0.02,0.05681306782437634,0
0.03,0.06480442211321913,0
0.04,0.07279577640206192,0
0.05,0.08078713069090471,0
0.06,0.0887784849797475,0
0.07,0.09884829554270796,0
0.08,0.11307501865390374,0
0.09,0.12730174176509954,0
0.1,0.14152846487629533,0
0.11,0.1557551879874911,0
0.12,0.1699819110986869,0
0.13,0.18420863420988273,0
0.14,0.19645506384816427,0
0.15,0.2077113467499887,0
0.16,0.21896762965181313,0
0.17,0.23022391255363758,0
0.18,0.24148019545546198,0
0.19,0.25273647835728646,0
0.2,0.26399276125911086,0
0.21,0.2666790041914302,0
0.22,0.26936524712374954,0
0.23,0.2720514900560689,0
0.24,0.2747377329883882,0
0.25,0.27742397592070756,0
0.26,0.2801102188530269,0
0.27,0.2851453796914479,0
0.28,0.29487837634207203,0
0.29,0.30461137299269614,0
0.3,0.31434436964332035,0
0.31,0.3240773662939445,0
0.32,0.3338103629445686,0
0.33,0.34354335959519283,0
0.34,0.3626873188017624,0
0.35000000000000003,0.38653675928630454,0
0.36,0.41038619977084667,0
0.37,0.43423564025538897,0
0.38,0.4580850807399312,0
0.39,0.4819345212244735,0
0.4,0.5057839617090156,0
0.41000000000000003,0.5143824254672434,0
0.42,0.5229808892254714,0
0.43,0.5315793529836993,0
0.44,0.5401778167419272,0
0.45,0.548776280500155,0
0.46,0.557374744258383,0
0.47000000000000003,0.5647012909829592,0
0.48,0.569484003640232,0
0.49,0.5742667162975049,0
0.5,0.5790494289547777,0
0.51,0.5838321416120505,0
0.52,0.5886148542693235,0
0.53,0.5933975669265963,0
0.54,0.598710231041776,0
0.55,0.604287870885909,0
0.56,0.609865510730042,0
0.5700000000000001,0.6154431505741751,0
0.58,0.621020790418308,0
0.59,0.6265984302624411,0
0.6,0.6321760701065742,0
0.61,0.6442068799131908,0
0.62,0.6562376897198074,0
0.63,0.6682684995264241,0
0.64,0.6802993093330407,0
0.65,0.6923301191396574,0
0.66,0.704360928946274,0
0.67,0.7202915073096515,0
0.68,0.7440216227865506,0
0.6900000000000001,0.7677517382634493,0
0.7000000000000001,0.7914818537403483,0
0.71,0.815211969217247,0
0.72,0.838942084694146,0
0.73,0.8626722001710451,0
0.74,0.8814500384622571,0
0.75,0.8977517381606257,0
0.76,0.9140534378589943,0
0.77,0.9303551375573629,0
0.78,0.9466568372557314,0
0.79,0.9629585369540999,0
0.8,0.9792602366524683,0
0.81,1.0133052787104855,0
0.8200000000000001,1.0473503207685022,0
0.8300000000000001,1.0813953628265194,0
0.84,1.1154404048845366,0
0.85,1.1494854469425537,0
0.86,1.183530489000571,0
0.87,1.235283212625662,0
0.88,1.3224512993849,0
0.89,1.4096193861441388,0
0.9,1.4967874729033777,0
0.91,1.5839555596626165,0
0.92,1.6711236464218553,0
0.93,1.758291733181094,0
0.9400000000000001,1.8057166395938482,0
0.9500000000000001,1.833269955833361,0
0.96,1.8608232720728735,0
0.97,1.8883765883123862,0
0.98,1.915929904551899,0
0.99,1.9434832207914117,0
1.0,1.9710365370309244,0
0.0,0.16673888360216793,1
0.01,0.16961206366340215,1
0.02,0.1724852437246364,1
0.03,0.1753584237858706,1
0.04,0.17823160384710485,1
0.05,0.18110478390833906,1
0.06,0.18397796396957328,1
0.07,0.19208403091720722,1
0.08,0.2106558716376405,1
0.09,0.22922771235807377,1
0.1,0.2477995530785071,1
0.11,0.26637139379894037,1
0.12,0.28494323451937364,1
0.13,0.30351507523980703,1
0.14,0.313594794545908,1
0.15,0.3194284531448428,1
0.16,0.3252621117437776,1
0.17,0.3310957703427125,1
0.18,0.3369294289416473,1
0.19,0.34276308754058216,1
0.2,0.34859674613951697,1
0.21,0.35260752773093074,1
0.22,0.35661830932234445,1
0.23,0.3606290909137582,1
0.24,0.36463987250517194,1
0.25,0.3686506540965857,1
0.26,0.3726614356879995,1
0.27,0.3832452946588123,1
0.28,0.406975308388423,1
0.29,0.4307053221180337,1
0.3,0.4544353358476445,1
