cdf,request_execution_time
0.0,0.2583742639826386
0.01,0.3665137066755453
0.02,0.402214811112321
0.03,0.49509188680163657
0.04,0.5357546646946407
0.05,0.6822344884287457
0.06,0.9315605914018876
0.07,1.023445073095089
0.08,1.2498983231231682
0.09,1.4818070223104909
0.1,1.589745476517134
0.11,1.6540918551435744
0.12,1.7258487499087194
0.13,1.9002985022737997
0.14,2.107919460965992
0.15,2.313568307236902
0.16,2.5261115358796173
0.17,2.9072296017418
0.18,3.054481336422604
0.19,3.177958923062711
0.2,3.364149684113524
0.21,3.3841327153105434
0.22,3.400381830874793
0.23,3.4709618144855487
0.24,3.6082162811226373
0.25,3.823504299214713
0.26,4.175323882241758
0.27,4.221641685057572
0.28,4.285229093910741
0.29,4.335435665253856
0.3,4.358202716885718
0.31,4.434947159974974
0.32,4.533028836814615
0.33,4.615735158909183
0.34,5.158963686302256
0.35000000000000003,5.43415584642399
0.36,5.602482998300771
0.37,5.692678565740387
0.38,6.0121368112405005
0.39,6.313949095370496
0.4,6.550087668669035
0.41000000000000003,6.688202431129099
0.42,6.744744871188022
0.43,6.863531731931557
0.44,6.996358528413534
0.45,7.203136053113023
0.46,7.481588454961997
0.47000000000000003,7.590529080009898
0.48,7.6428605238703655
0.49,7.841184935707152
0.5,8.046846434338704
0.51,8.145900083484056
0.52,8.169934306819206
0.53,8.28238442145923
0.54,8.360732188305372
0.55,8.470768253553489
0.56,8.555066770241254
0.5700000000000001,8.649304053126457
0.58,8.666682191209484
0.59,8.740287229157206
0.6,8.86971418481675
0.61,9.10295265609332
0.62,9.275199450171975
0.63,9.617167019702126
0.64,9.904234702985782
0.65,10.268578905193099
0.66,10.405187678258809
0.67,10.44637244373489
0.68,10.570983950555103
0.6900000000000001,10.704294131251627
0.7000000000000001,10.793388646525901
0.71,10.972764220051461
0.72,11.090361959297574
0.73,11.238201488871027
0.74,11.521765584917539
0.75,11.608231667279894
0.76,11.632281330613065
0.77,11.73309775269192
0.78,11.775366066285232
0.79,12.001135393221881
0.8,12.050185927556495
0.81,12.051418930411513
0.8200000000000001,12.528514867568514
0.8300000000000001,13.319754859981295
0.84,13.608313687344996
0.85,14.392976817663195
0.86,14.781091254794932
0.87,15.45697415932771
0.88,15.688064917185535
0.89,17.023175424428178
0.9,17.642352605290814
0.91,18.595040591080874
0.92,19.626731637258903
0.93,20.66901580057093
0.9400000000000001,22.085122148531156
0.9500000000000001,22.65842259115271
0.96,23.16004959842729
0.97,24.10084837968756
0.98,25.14641900538092
0.99,25.872214219092598
1.0,30.88122488028733
