cdf,request_scheduling_delay
0.0,0.0
0.01,0.0003074261644278664
0.02,0.0006148523288557328
0.03,0.0009222784932835992
0.04,0.00121674571269061
0.05,0.0015074332397998712
0.06,0.0017981207669091324
0.07,0.0021821656210689526
0.08,0.0026430929798586435
0.09,0.0031040203386483345
0.1,0.0034683457718180156
0.11,0.003629807161185675
0.12,0.0037912685505533347
0.13,0.003937737328624006
0.14,0.00394427506792278
0.15,0.003950812807221554
0.16,0.003957350546520328
0.17,0.004032320982390691
0.18,0.004117429595530919
0.19,0.004202538208671147
0.2,0.004473285220789158
0.21,0.00484613335234495
0.22,0.0052189814839007425
0.23,0.00545772489525925
0.24,0.005510784847883059
0.25,0.0055638448005068675
0.26,0.005624390937631141
0.27,0.005716129510174018
0.28,0.005807868082716894
0.29,0.00589960665525977
0.3,0.005955618480333946
0.31,0.006010439413825832
0.32,0.006065260347317718
0.33,0.006305067490618779
0.34,0.006609217663418683
0.35000000000000003,0.006913367836218587
0.36,0.007069231960645723
0.37,0.00708607791472339
0.38,0.007102923868801057
0.39,0.007195909329446479
0.4,0.007475013583924195
0.41000000000000003,0.00775411783840191
0.42,0.0080259531041726
0.43,0.008192388033691423
0.44,0.008358822963210244
0.45,0.008525257892729066
0.46,0.008565915126125746
0.47000000000000003,0.008582384341037396
0.48,0.008598853555949049
0.49,0.008723445811607302
0.5,0.008916326303526567
0.51,0.009109206795445832
0.52,0.009583248348072646
0.53,0.010502461580153069
0.54,0.011421674812233504
0.55,0.014397887515790528
0.56,0.028070497471025805
0.5700000000000001,0.04174310742626093
0.58,0.055415717381496046
0.59,0.06255797138799785
0.6,0.06924985601872495
0.61,0.07594174064945212
0.62,0.08172935929119197
0.63,0.0871470509374371
0.64,0.09256474258368218
0.65,0.09932847436213398
0.66,0.10752798228160611
0.67,0.11572749020107824
0.68,0.1332734906831397
0.6900000000000001,0.17769065728264355
0.7000000000000001,0.22210782388214845
0.71,0.2654988414884024
0.72,0.27810538929713746
0.73,0.29071193710587234
0.74,0.3033184849146074
0.75,0.3311097618350265
0.76,0.36254537374224977
0.77,0.39398098564947337
0.78,0.4168676285535261
0.79,0.4335800160664003
0.8,0.45029240357927436
0.81,0.46283206455898407
0.8200000000000001,0.4677849500238493
0.8300000000000001,0.4727378354887146
0.84,0.479482365816024
0.85,0.49832049896483127
0.86,0.5171586321136388
0.87,0.5359967652624461
0.88,0.5856336635028782
0.89,0.638570429431698
0.9,0.6915071953605185
0.91,0.7573379821032377
0.92,0.8293087787573373
0.93,0.9012795754114378
0.9400000000000001,2.137799525005628
0.9500000000000001,4.788414874598576
0.96,7.4390302241914945
0.97,9.49776829674251
0.98,9.527212848006895
0.99,9.55665739927128
1.0,9.586101950535665
