cdf,request_model_execution_time_normalized
0.0,0.008161029027785453
0.01,0.008258450462652979
0.02,0.008355871897520505
0.03,0.008453293332388031
0.04,0.011848592327725067
0.05,0.016205772278199044
0.06,0.02056295222867302
0.07,0.022617401898301505
0.08,0.022775485454292525
0.09,0.022933569010283546
0.1,0.02304214729147821
0.11,0.023046764495600513
0.12,0.02305138169972282
0.13,0.023055755986001222
0.14,0.023057863039069867
0.15,0.023059970092138508
0.16,0.02306207714520715
0.17,0.023065091780756775
0.18,0.02306824087297025
0.19,0.023071389965183722
0.2,0.02311644751760944
0.21,0.023184554723151892
0.22,0.023252661928694345
0.23,0.023314990052702024
0.24,0.0233693163715077
0.25,0.023423642690313384
0.26,0.023488171466249073
0.27,0.02359521048022648
0.28,0.02370224949420388
0.29,0.023809288508181283
0.3,0.023938072599914824
0.31,0.024067581527573573
0.32,0.02419709045523232
0.33,0.02434609682751481
0.34,0.02450188491966643
0.35000000000000003,0.02465767301181805
0.36,0.02475106220705248
0.37,0.024785952436427047
0.38,0.024820842665801614
0.39,0.02488581159186936
0.4,0.02502430622096487
0.41000000000000003,0.025162800850060382
0.42,0.02530995879745212
0.43,0.025582734860139157
0.44,0.025855510922826192
0.45,0.02612828698551323
0.46,0.02617256049132263
0.47000000000000003,0.026172891197732483
0.48,0.026173221904142337
0.49,0.02627050735373833
0.5,0.0264290273779782
0.51,0.026587547402218074
0.52,0.026702762609472255
0.53,0.026749411856499098
0.54,0.02679606110352594
0.55,0.026850791745643168
0.56,0.026947545642230387
0.5700000000000001,0.02704429953881761
0.58,0.02714105343540483
0.59,0.027204264451181737
0.6,0.027265162164833795
0.61,0.027326059878485853
0.62,0.027533602308843597
0.63,0.02780113575967185
0.64,0.028068669210500104
0.65,0.028354649632274506
0.66,0.028660306823058125
0.67,0.028965964013841747
0.68,0.029295082871703623
0.6900000000000001,0.029691654022415453
0.7000000000000001,0.03008822517312729
0.71,0.03047456880386058
0.72,0.030554086835237436
0.73,0.030633604866614293
0.74,0.030713122897991146
0.75,0.030983249934133983
0.76,0.03129912313142065
0.77,0.031614996328707325
0.78,0.03180355205461463
0.79,0.031900156273414616
0.8,0.0319967604922146
0.81,0.03239504771190454
0.8200000000000001,0.03334184947866709
0.8300000000000001,0.03428865124542966
0.84,0.03513890389016695
0.85,0.03533744996123366
0.86,0.03553599603230038
0.87,0.03573454210336709
0.88,0.03613420907278134
0.89,0.03655542470987567
0.9,0.036976640346970006
0.91,0.037144368129134096
0.92,0.03719138740895044
0.93,0.037238406688766795
0.9400000000000001,0.03871449254700556
0.9500000000000001,0.04192587353618593
0.96,0.045137254525366266
0.97,0.14569157707147223
0.98,0.5799931278127481
0.99,1.014294678554029
1.0,1.4485962292953047
