cdf,request_e2e_time_normalized
0.0,0.03711810553732159
0.01,0.04065629908048934
0.02,0.049861024446154034
0.03,0.06067081255408569
0.04,0.0729286947016002
0.05,0.0799212899257087
0.06,0.08588508836856883
0.07,0.09234225431961628
0.08,0.10474837974509833
0.09,0.11012897402718644
0.1,0.11815951920539788
0.11,0.1251076253753097
0.12,0.1299310482630184
0.13,0.13299021742875472
0.14,0.13720797249078312
0.15,0.1447506095333626
0.16,0.1477926030004002
0.17,0.15983039147459807
0.18,0.1642989907700517
0.19,0.16973065863417744
0.2,0.17107298422856354
0.21,0.17602232794665915
0.22,0.18015290747517884
0.23,0.18509470999911662
0.24,0.19305841730388162
0.25,0.19474610201407183
0.26,0.19913693678450256
0.27,0.20330882870866018
0.28,0.2131705205493454
0.29,0.2205088711842241
0.3,0.22297029834843687
0.31,0.22788893515222014
0.32,0.23893841194098428
0.33,0.24372796272240363
0.34,0.24817600057452485
0.35000000000000003,0.252814284588139
0.36,0.2604283088591645
0.37,0.26290378515547
0.38,0.269717502559115
0.39,0.27362697325018565
0.4,0.2766938032845485
0.41000000000000003,0.2838978047491494
0.42,0.2865574037443158
0.43,0.28862067019951393
0.44,0.2931974462696406
0.45,0.29638231819965616
0.46,0.30192713084063155
0.47000000000000003,0.30344202786835567
0.48,0.31159032275160614
0.49,0.31424818497941487
0.5,0.3214794370789917
0.51,0.3274329743003882
0.52,0.33331018696531206
0.53,0.3389371200582522
0.54,0.34247902595621105
0.55,0.3459438534380651
0.56,0.3497900431641274
0.5700000000000001,0.35235154136123176
0.58,0.35620172271101813
0.59,0.3605773811101331
0.6,0.3662374374471517
0.61,0.3724236850618833
0.62,0.37644154966796434
0.63,0.3829564440307585
0.64,0.3885107619588374
0.65,0.3931987582988061
0.66,0.39789066606067125
0.67,0.412098279835405
0.68,0.4182860377984756
0.6900000000000001,0.4266902798475563
0.7000000000000001,0.434484593291607
0.71,0.44073299855615894
0.72,0.44618644901871696
0.73,0.4565197978168141
0.74,0.4642801819400492
0.75,0.47373929029102946
0.76,0.4784829020751505
0.77,0.485371484871447
0.78,0.4990834373252832
0.79,0.5087910086969669
0.8,0.5281752406523668
0.81,0.5414555222618319
0.8200000000000001,0.5792850076913326
0.8300000000000001,0.5964210781377898
0.84,0.605340073389274
0.85,0.6171484325790475
0.86,0.6477962647822977
0.87,0.7187876598892955
0.88,0.8007952546464621
0.89,0.8540179297426748
0.9,1.0521748609129433
0.91,1.065385718948958
0.92,1.279398969812884
0.93,1.4202511436561782
0.9400000000000001,1.9592308595215515
0.9500000000000001,2.2615314582590216
0.96,3.335075876827568
0.97,5.134829072579486
0.98,7.240820575037098
0.99,29.80697958902896
1.0,62.36225397331434
