cdf,prefill_e2e_time
0.0,0.3644838595468453
0.01,0.8370156963898452
0.02,3.3337525089075144
0.03,6.393680232359598
0.04,16.14795814656631
0.05,17.34386770059514
0.06,21.447260284373325
0.07,22.388324544393413
0.08,27.14692193532425
0.09,28.143088066452023
0.1,29.960247263963375
0.11,32.192288156280455
0.12,32.40757231350339
0.13,33.81885301480101
0.14,35.54042731330836
0.15,40.59027116413023
0.16,43.36580985196268
0.17,46.56352903744328
0.18,47.57954105898762
0.19,49.75366665869492
0.2,51.66759994982863
0.21,53.553651894197806
0.22,55.74794085662883
0.23,60.10193028601128
0.24,62.46547165369537
0.25,66.9315783250603
0.26,73.25954834627521
0.27,78.92835975367223
0.28,85.4853525323646
0.29,85.6405978506107
0.3,87.85059295096802
0.31,90.86939018666186
0.32,91.30757754487233
0.33,93.3608462194164
0.34,94.94760169552048
0.35000000000000003,95.31637055581312
0.36,100.89491304495438
0.37,100.98681781659396
0.38,104.5923795014499
0.39,106.87022356107192
0.4,107.66742785833625
0.41000000000000003,108.73741762265118
0.42,110.08322099680453
0.43,110.27196696939978
0.44,111.58729381247744
0.45,113.87632215277
0.46,114.97314610275728
0.47000000000000003,115.93615726378111
0.48,116.78459604055604
0.49,117.31729010092658
0.5,119.30839564438983
0.51,120.133467907164
0.52,122.12923779999139
0.53,123.39448683078163
0.54,124.47686682448015
0.55,127.31203287515464
0.56,127.92319121696195
0.5700000000000001,129.58515174447282
0.58,131.12950407572336
0.59,132.20796919946653
0.6,133.89239414512198
0.61,134.32747016293624
0.62,136.03785060916545
0.63,138.09158719613527
0.64,139.7152622547954
0.65,140.85940808324685
0.66,141.95576932373896
0.67,143.3577077251081
0.68,145.1038593861346
0.6900000000000001,147.10337964124923
0.7000000000000001,147.60622990293805
0.71,149.79517279949627
0.72,150.39675717537347
0.73,151.80315483679166
0.74,153.1320793720767
0.75,155.6275500126632
0.76,157.18664592195722
0.77,172.46003448806647
0.78,173.6591905849237
0.79,173.76128529904375
0.8,174.37186765441558
0.81,174.8334676977806
0.8200000000000001,176.0697723092924
0.8300000000000001,176.5996057056844
0.84,177.07664810851625
0.85,177.23955883005058
0.86,177.58508231275727
0.87,177.7649047415967
0.88,177.98891851934007
0.89,180.5125263529609
0.9,181.48703189942822
0.91,187.80689157890998
0.92,188.8189415507594
0.93,189.1498461832897
0.9400000000000001,191.36950314966165
0.9500000000000001,192.34169325933172
0.96,195.09357669796134
0.97,195.27958820603632
0.98,197.15184565538095
0.99,199.2297409278583
1.0,200.0713901550318
