Time (sec),request_completion
1.7858515233857566,1
7.460824872901044,2
10.466276286054544,3
12.883801083401522,4
18.976529746605618,5
20.354337894334147,6
20.483478492459707,7
22.194896729202913,8
22.93379095075173,9
23.967351193292355,10
24.271955529804085,11
30.04795354897595,12
30.56835882467846,13
31.599409700497134,14
31.632045682668522,15
31.73646743893808,16
31.849062761159644,17
31.907936841086425,18
31.907936841086425,19
34.04215156007187,20
34.57030196120488,21
36.15428505439635,22
36.71173177774196,23
37.17090762278826,24
37.951614959832504,25
39.11740750481851,26
39.41380891424441,27
40.76943797084616,28
43.444878873864795,29
43.486689218148186,30
44.42117706659511,31
44.711884062526224,32
44.90448977547689,33
46.31004759334997,34
47.21828973808054,35
47.62693231728,36
50.66740954501603,37
51.98635551493453,38
52.41706948090443,39
53.29080671548178,40
53.35407503950456,41
53.518514271705506,42
54.51122665574077,43
54.83238130283527,44
55.082282793742394,45
55.37773266345629,46
55.40960355378768,47
56.10907110635365,48
56.250287341215206,49
56.33844124740938,50
56.53147081630511,51
57.58759777698051,52
58.19843057822308,53
60.25764339900056,54
60.9868474422453,55
63.339342093908904,56
64.13075192359489,57
64.4290375582094,58
65.48908486636817,59
66.45062347348943,60
68.146887939481,61
68.146887939481,62
68.17593894066039,63
69.41123196412856,64
69.90801167025819,65
70.33701035944625,66
71.91645237551748,67
72.19083908951937,68
73.51537006109251,69
73.843023364443,70
73.95935411631488,71
75.40620374739939,72
75.92888740706529,73
78.08765802274283,74
78.49997670629891,75
78.63560942756047,76
84.4661795684464,77
85.57953231925654,78
86.65360589029076,79
87.22244167894384,80
87.26137516529809,81
87.30051607674947,82
92.85019368800882,83
94.37607890013135,84
96.12976619069094,85
97.15433279503235,86
98.31525909030856,87
99.74946039329186,88
100.85298131271449,89
103.3171312093059,90
106.26764471123606,91
106.98905479864077,92
108.89413451654475,93
109.28570113388822,94
109.37348545226799,95
109.61509966237048,96
110.14703621918811,97
111.17837254518457,98
111.42753474530308,99
111.84625589260314,100
112.09653221017086,101
113.00522611385915,102
113.09651594597793,103
114.09297576169374,104
116.43376416896939,105
116.56994417761834,106
116.6525942783725,107
118.63702842659428,108
118.67783536351767,109
120.45101229233906,110
122.05018267324714,111
123.63069327065782,112
123.83141053184154,113
124.29231028898838,114
124.77819521674999,115
124.93854018155893,116
124.97182119566632,117
125.39571605825776,118
126.72711548421275,119
127.7897074231737,120
128.6893159259748,121
128.79142277834498,122
128.87858580479516,123
128.87858580479516,124
129.85767896355966,125
130.1158186044462,126
130.1158186044462,127
130.24119041153176,128
130.64997083886846,129
131.11035239935987,130
131.9922967799394,131
132.7189521119249,132
133.2364481698899,133
133.94988161199186,134
134.1325281359322,135
134.39894859823133,136
135.42405576942997,137
135.9733866206842,138
136.3150207097169,139
136.54183556526866,140
136.6445808673028,141
136.86109849524314,142
138.95944054068042,143
139.35474512631643,144
140.18746793258734,145
141.32869631100888,146
142.13279241878382,147
142.91540362269598,148
145.01044537210618,149
145.23145293354125,150
146.28305871225353,151
147.0514061351189,152
147.31695196659743,153
147.81501773685505,154
148.55551428553514,155
148.74848842735886,156
148.77767164946624,157
148.8676655751164,158
148.8676655751164,159
148.89843732637578,160
149.89515576627403,161
149.98290830952422,162
150.47554465291105,163
150.658853428024,164
151.01289427297723,165
151.65202133835697,166
153.03514332416552,167
153.509190046981,168
155.4925091490659,169
155.8637280849466,170
157.247083794568,171
157.42319007392595,172
158.99619012151555,173
160.2355430813314,174
160.6260204521013,175
161.63453074605016,176
162.1653533212631,177
163.31058636972787,178
163.31058636972787,179
163.33958395701927,180
163.49090260144422,181
163.5859439439264,182
163.68385453031254,183
163.9248821515603,184
164.6163138848807,185
166.91329071510413,186
167.24102297739404,187
168.00917139149158,188
168.13472946622514,189
168.36061934906826,190
168.42027825536303,191
168.70984549458552,192
168.7781683256163,193
169.49920447184633,194
170.61274487500845,195
170.9666252897902,196
171.908260484864,197
172.8352084438297,198
172.94695136182727,199
175.4417234153098,200
175.919853023428,201
176.0209162477662,202
176.0552357514736,203
176.54036327489246,204
177.15706299777162,205
177.74357201701665,206
177.9290649185936,207
179.17251868711347,208
179.3737684528732,209
179.3737684528732,210
179.66834196331672,211
180.0765187945482,212
180.27488436770454,213
180.96064425621572,214
182.16871308035147,215
183.04311457078248,216
183.42803520999578,217
184.84892922345952,218
185.4956722564187,219
185.96534313471759,220
186.03401700933236,221
186.5188444906941,222
186.5188444906941,223
189.31834508011855,224
189.35832711336192,225
189.83297225972942,226
189.8635246333248,227
190.570043328364,228
190.86910131532588,229
191.0898678739176,230
191.88860845920573,231
192.41762069525538,232
192.988855048169,233
193.37443011812059,234
193.62352084609293,235
195.9589925929063,236
201.171002436706,237
201.31573658600877,238
202.13626695629407,239
202.21266264662546,240
203.32443253438598,241
205.08654868294198,242
206.44321256988079,243
207.68500950529818,244
208.27144028615245,245
210.32010593415018,246
210.54929672979787,247
212.30072602917852,248
212.587449606822,249
213.82769915827174,250
215.3978803466768,251
215.6846725769667,252
216.4909548198548,253
216.996205476282,254
217.8865432479837,255
218.6207861948537,256
219.00403636692187,257
221.1682233703183,258
222.36128916206076,259
222.39395924957614,260
222.48647944057032,261
223.22536350634306,262
223.31280734431323,263
223.4038423031794,264
223.7795198648411,265
223.92803131157004,266
224.14353746372515,267
225.0475473342247,268
225.32584452383813,269
226.18067805316284,270
226.33717320805178,271
227.00619964837094,272
228.22289424706233,273
228.41974684827807,274
228.568075519199,275
228.79941736850608,276
229.1583277585034,277
229.84331700738775,278
231.09115152615195,279
231.41052539681678,280
231.45208522769218,281
231.57922709625433,282
231.88692171526208,283
233.35289179279235,284
234.4752995715527,285
235.25493552733738,286
235.51976436456692,287
237.5632728966798,288
237.75379115677552,289
237.94173983632723,290
238.95466624352437,291
239.84670470564015,292
241.19062889749213,293
243.4230115010277,294
244.0106006229288,295
244.38260567891015,296
244.60979734802987,297
244.73142988804344,298
247.49441205356243,299
247.63831516237138,300
249.29396436571582,301
249.7457100154707,302
250.51421328671088,303
251.88158181484934,304
252.42312687070248,305
254.72174148155244,306
255.4688809499677,307
257.1383227521266,308
257.53541581929863,309
257.96153315067477,310
258.8365496082371,311
259.61662631420234,312
259.72912780544186,313
259.8296243601548,314
259.95589378243426,315
260.3780005308528,316
261.0263859645544,317
261.2843759125956,318
261.56980106852546,319
262.1126763890034,320
262.12267524923396,321
262.13244757140444,322
262.1914865367339,323
262.76138343180946,324
262.89614216059505,325
263.0787123227415,326
263.0787123227415,327
263.1573143867341,328
263.28941965766387,329
263.28941965766387,330
263.66264236278937,331
264.9679063671233,332
265.4761921625598,333
267.34987403833253,334
269.89490736131455,335
