cdf,request_e2e_time_normalized
0.0,0.03711810553732159
0.01,0.038936331177999356
0.02,0.03997645022345852
0.03,0.04109779461396606
0.04,0.04658111958514156
0.05,0.04980592869845851
0.06,0.052135203693032456
0.07,0.0546006890601022
0.08,0.06104810821757532
0.09,0.06617642198266019
0.1,0.07162398322885635
0.11,0.07394096513286366
0.12,0.07950458598557342
0.13,0.07984414598318823
0.14,0.08150943865196655
0.15,0.08268730587242396
0.16,0.08682289389803555
0.17,0.09025561637122413
0.18,0.09211292404558463
0.19,0.09288247266602839
0.2,0.09833857679236006
0.21,0.10457331817360153
0.22,0.10701698727655085
0.23,0.10970706570081021
0.24,0.12025194985302616
0.25,0.12541961207236885
0.26,0.1254860765541697
0.27,0.1260084249812901
0.28,0.12843108752451188
0.29,0.1311762505122071
0.3,0.1329348010302501
0.31,0.13355664772611409
0.32,0.1366790980780624
0.33,0.13806536651186016
0.34,0.13912627593231133
0.35000000000000003,0.1408193409050936
0.36,0.14385406916516477
0.37,0.14554637040651833
0.38,0.15033870838528576
0.39,0.15407005349538025
0.4,0.15601797631196138
0.41000000000000003,0.16177920268026175
0.42,0.16289625285770723
0.43,0.16558967483386552
0.44,0.1701247146005518
0.45,0.17202984630019003
0.46,0.17725029855035393
0.47000000000000003,0.17973078880306717
0.48,0.18174913311284432
0.49,0.18937485510586227
0.5,0.19199881306600625
0.51,0.1951223656491396
0.52,0.197780250186723
0.53,0.20037548260226676
0.54,0.20782933449958046
0.55,0.2195045123759651
0.56,0.22241236536072614
0.5700000000000001,0.22262807312105504
0.58,0.2247380652278652
0.59,0.227834026280147
0.6,0.22938444061731111
0.61,0.23117536768093538
0.62,0.2360465647397992
0.63,0.23978088785681456
0.64,0.24706751260228751
0.65,0.25367908211445706
0.66,0.2571359276433443
0.67,0.26010667425737194
0.68,0.26150899102430586
0.6900000000000001,0.2661568544114469
0.7000000000000001,0.28455251135722487
0.71,0.28965550162902115
0.72,0.3036298368079543
0.73,0.31239186654976137
0.74,0.32417510481788203
0.75,0.3291289850385783
0.76,0.34531107503528724
0.77,0.3580245874494879
0.78,0.36212297312367936
0.79,0.3698014219902729
0.8,0.3985767249827387
0.81,0.4270773779680771
0.8200000000000001,0.45620910479143684
0.8300000000000001,0.5268706971638168
0.84,0.5624886396813034
0.85,0.5736538556164813
0.86,0.6855600463019141
0.87,0.8253294227565664
0.88,1.0194082822420554
0.89,1.069321613792616
0.9,1.2399118186548364
0.91,1.4331362360512647
0.92,1.8932818815439296
0.93,2.020922003729516
0.9400000000000001,2.237981900707693
0.9500000000000001,2.4864343313781316
0.96,3.511403111075058
0.97,8.894282726525738
0.98,18.75745492739052
0.99,26.494750698296556
1.0,67.10384841570284
