cdf,decode_time_execution_plus_preemption_normalized
0.0,0.0
0.01,0.0024104726158647666
0.02,0.008937624210672242
0.03,0.00900797099189712
0.04,0.009272722317043266
0.05,0.01247573433116353
0.06,0.01674870719777967
0.07,0.023413633650365227
0.08,0.02449357146574228
0.09,0.02556478733798991
0.1,0.026668239423753713
0.11,0.027239244115947026
0.12,0.028214712977029217
0.13,0.028298427341949893
0.14,0.02866638620389348
0.15,0.029282926321119618
0.16,0.029654859556078134
0.17,0.03003473844627379
0.18,0.030719832516421013
0.19,0.031382306412298534
0.2,0.031637720345340535
0.21,0.03181958821934294
0.22,0.032063941534087835
0.23,0.03219998495221921
0.24,0.032240828260419095
0.25,0.03226649562569303
0.26,0.03252089580279002
0.27,0.03258272126762792
0.28,0.03271922256692062
0.29,0.03277421080286284
0.3,0.03289074078908452
0.31,0.03300572480598407
0.32,0.033155819604768655
0.33,0.03329582659275959
0.34,0.03346123570529121
0.35000000000000003,0.03370340806940928
0.36,0.03377268101254645
0.37,0.03388840770547546
0.38,0.03390604802106988
0.39,0.03395469963904267
0.4,0.03398916953227072
0.41000000000000003,0.03399089454040868
0.42,0.03401636494532747
0.43,0.034064078459155496
0.44,0.0341238434012764
0.45,0.03419827063219775
0.46,0.034238946299727055
0.47000000000000003,0.03429803208206535
0.48,0.034329480538454485
0.49,0.034378327964914746
0.5,0.0344290674813474
0.51,0.034450086990578915
0.52,0.034498242638890356
0.53,0.03456241709798601
0.54,0.03457573156454409
0.55,0.034606678425455506
0.56,0.0346563646987269
0.5700000000000001,0.03477735589143792
0.58,0.0349162175406018
0.59,0.03498729200780551
0.6,0.03506444328301634
0.61,0.035238699412883344
0.62,0.03534906358567315
0.63,0.0354461535923825
0.64,0.03569777388807907
0.65,0.03593874776139508
0.66,0.03599223882453641
0.67,0.03604122342024363
0.68,0.036302610121636554
0.6900000000000001,0.03667486762107371
0.7000000000000001,0.03737524236112762
0.71,0.037554332148081085
0.72,0.037860280345163144
0.73,0.03833553896266687
0.74,0.03857096040097307
0.75,0.039091676944766805
0.76,0.03977607503972211
0.77,0.040587772479179954
0.78,0.0408364740877444
0.79,0.04113530634987115
0.8,0.04122060824695458
0.81,0.041295710999060625
0.8200000000000001,0.041390825246955185
0.8300000000000001,0.04154541131859326
0.84,0.04212572228474112
0.85,0.0424715588762962
0.86,0.04268697239188691
0.87,0.042809804651069656
0.88,0.04290960100955951
0.89,0.04302792925624135
0.9,0.04406680568060592
0.91,0.044632704720525745
0.92,0.045958989099412324
0.93,0.04746411956750655
0.9400000000000001,0.04778387183477173
0.9500000000000001,0.04870990597611781
0.96,0.04927540597879637
0.97,0.051122332159221094
0.98,0.05306453300532816
0.99,0.055442949549343465
1.0,0.05668918163766767
