cdf,request_execution_plus_preemption_time
0.0,0.410743856566235
0.01,0.506800499272095
0.02,0.646627558045904
0.03,0.8026865728065086
0.04,0.8589430824167794
0.05,0.9658851056632991
0.06,1.005323532666884
0.07,1.3706754230207776
0.08,1.567973250205476
0.09,1.7536355478227996
0.1,1.9985649465321589
0.11,2.311153576308333
0.12,2.6255862316722083
0.13,3.503879729324386
0.14,3.6642252845607794
0.15,3.722406994279428
0.16,4.06553075434014
0.17,4.284430731940426
0.18,4.763415786588555
0.19,5.43623286076738
0.2,5.817886151660372
0.21,6.342546861709957
0.22,7.035954267965406
0.23,7.28485507533245
0.24,7.677834687099523
0.25,7.888084377511927
0.26,8.04982668604915
0.27,8.649818790321001
0.28,8.983875530874293
0.29,9.304332152024212
0.3,9.44777051983949
0.31,9.79658440013191
0.32,10.436349578052809
0.33,10.88558515574706
0.34,11.31836865372123
0.35000000000000003,11.427614325833709
0.36,11.475553157437378
0.37,11.630802971524034
0.38,11.734907380915434
0.39,11.915637352669886
0.4,11.965692340008918
0.41000000000000003,12.128915345290931
0.42,12.33649330509503
0.43,12.472658065673468
0.44,12.591027693745783
0.45,12.816290174221532
0.46,13.166970783331896
0.47000000000000003,13.235046530513685
0.48,13.424157419148438
0.49,14.082637541505083
0.5,14.136818219794542
0.51,14.185434327392315
0.52,14.263243643261163
0.53,14.37847166321797
0.54,14.607951643540236
0.55,14.715563729298538
0.56,14.749405780277266
0.5700000000000001,15.120962970406515
0.58,15.745037475086132
0.59,16.364539067577244
0.6,16.632098834806868
0.61,16.960547070715563
0.62,17.3227438563356
0.63,17.44676185498029
0.64,17.7381789891278
0.65,17.936597308841755
0.66,18.63779767624864
0.67,18.934203247052068
0.68,19.07801180121925
0.6900000000000001,19.182843306283058
0.7000000000000001,19.887146632092797
0.71,20.098349693081687
0.72,20.196043083643637
0.73,20.34176481104098
0.74,20.85006358425877
0.75,21.008849561889797
0.76,21.385285760701336
0.77,21.775968694014303
0.78,21.927162457000218
0.79,22.09213803945331
0.8,22.383771820876184
0.81,22.75355319030417
0.8200000000000001,23.270989841826626
0.8300000000000001,23.473168008008255
0.84,23.566255880533742
0.85,23.68725339418263
0.86,23.984175243620395
0.87,24.49427753995711
0.88,25.061279764422455
0.89,25.211903497496817
0.9,25.343803083858866
0.91,25.803275125369595
0.92,26.143321530374134
0.93,27.141466459389427
0.9400000000000001,28.472753103560233
0.9500000000000001,30.18464387698569
0.96,30.95537927830785
0.97,31.47044297291053
0.98,33.46126258488593
0.99,38.95775914748293
1.0,41.73547044570331
