Request Id,request_scheduling_delay
5,0.7107150518751129
6,0.6711331581511786
11,5.350771823610201
4,0.5995037298702525
15,15.849087886248888
1,0.0
2,0.26498972065567095
7,0.745370310118386
9,3.789493145743587
16,16.23948010281169
8,2.0013034192714576
25,21.856020587090388
14,15.813783744856016
27,26.776015634928047
12,5.838910769998827
17,16.696293703899762
10,4.322543804733437
3,0.3855284815452866
29,27.184053815075618
34,28.690451384180186
20,18.568706144855106
18,16.721352733468617
13,15.632601965158692
21,19.482692829216916
37,32.05361156221979
26,22.826550580543596
23,21.314134911221778
22,21.337163382445098
35,29.134069718512215
33,28.547156214024394
32,27.616561234374196
46,33.78646497912671
38,32.09132956903347
42,32.103270835389935
45,33.41896274929437
43,32.83586853299081
44,33.55475451736205
30,27.456099287230884
36,30.960007397582096
31,27.907651007412028
48,35.46892244355163
19,17.307888617964377
58,46.31286034231672
49,35.358165574209906
24,21.369670326689345
53,40.76076885683501
40,32.18683729009234
28,26.858377552839578
39,32.11243344647581
50,35.64956389067378
57,45.68229330905267
41,32.22179752950092
64,48.47400081813177
47,35.08950825867455
68,49.78555337752134
52,40.49170194391536
65,48.4103141921094
66,49.62596656005314
55,42.76509705900914
59,46.54635266350261
74,55.10421122626771
51,37.31669480598834
56,43.64885628159932
62,47.41265708114345
60,46.66477095766745
54,41.18653024939789
72,52.538595181215705
67,49.69825816141141
61,46.581544433211015
80,63.478616014674856
71,52.139396232189746
63,47.814337643553046
70,51.674523725996266
85,66.61508443206924
76,57.1462608682401
75,57.062081783431545
77,59.96361653892112
69,51.394452823756154
89,71.19085920181259
78,59.930142704920705
73,53.05809693185204
84,65.45229674981668
87,67.52459379464591
79,60.984749951811054
83,64.67625431131725
95,81.41224152331522
81,63.41885756854364
82,64.35169152602994
88,67.69205857617959
86,67.05952684609429
90,71.75151967492444
92,76.86737961220139
91,72.56668121166643
94,79.30533399611156
93,77.93177280472058
103,110.4583589462958
109,111.47265514434449
100,110.22176614182926
97,91.62715426265277
111,112.87868762854941
96,82.45093495086616
114,116.00492562734192
105,110.11601145633198
116,116.55532116729381
115,116.56969223273636
110,112.06838789304182
99,110.45335089428649
117,116.44256072260929
120,118.60419444966261
104,110.16989783655397
113,115.58009616359973
106,110.66947805398048
98,93.54543205374421
108,110.75172309821248
102,109.98977552647159
122,129.36583372232857
101,109.97693693293732
112,113.96424009608668
107,110.65687312704378
118,116.89429678111514
123,129.72893415379843
119,116.86132272897416
121,129.14929993161215
124,130.61468938727916
127,138.3945226931599
128,138.42618289195337
126,138.35832794162633
125,137.61289228435737
