cdf,prefill_e2e_time_normalized
0.0,5.0135331436980095e-05
0.01,8.692563414508329e-05
0.02,9.767246888256474e-05
0.03,0.0001329103133414909
0.04,0.00015022677529012636
0.05,0.00017903095131729295
0.06,0.00023425014485668616
0.07,0.0002992334980597024
0.08,0.0004085549022537829
0.09,0.0005007018446071927
0.1,0.000732478866692467
0.11,0.0008885632512930433
0.12,0.000943943465133288
0.13,0.0010761367586889375
0.14,0.0011412893260249635
0.15,0.0011711878323424564
0.16,0.001361158217839175
0.17,0.001468780039436361
0.18,0.0015214175459281106
0.19,0.0015583890397253342
0.2,0.0016245844150344685
0.21,0.001641102837668166
0.22,0.0016921462718552424
0.23,0.0017214203488675566
0.24,0.0017606260355662801
0.25,0.0017995758723065303
0.26,0.0018633076973829283
0.27,0.0018866837218777803
0.28,0.0019443633985280543
0.29,0.002060520880322715
0.3,0.0020933335794323525
0.31,0.0022096307043359704
0.32,0.0023205183534451457
0.33,0.002452800116063649
0.34,0.002601492927789409
0.35000000000000003,0.002680783979450969
0.36,0.002725758609458839
0.37,0.0031460229981607082
0.38,0.003264408373280293
0.39,0.003296083393900925
0.4,0.0033433699081333043
0.41000000000000003,0.0033613362397367625
0.42,0.0034303802729673256
0.43,0.0035495294727146596
0.44,0.0036294178974465674
0.45,0.003714779017205818
0.46,0.0039732314990938294
0.47000000000000003,0.004150719613675881
0.48,0.004353661477462748
0.49,0.004391569868423239
0.5,0.004518659587620757
0.51,0.0048111824010959705
0.52,0.004960604918714668
0.53,0.004996197391371274
0.54,0.005072571447483516
0.55,0.005132564194959165
0.56,0.005696088197516558
0.5700000000000001,0.0058773981834654284
0.58,0.005986528626890913
0.59,0.006045102282176701
0.6,0.006360694791435329
0.61,0.006587308441862311
0.62,0.006662204058588157
0.63,0.006728243535842048
0.64,0.007825374373391637
0.65,0.00790960771464702
0.66,0.007988327975583362
0.67,0.008060003271417338
0.68,0.008376446899804348
0.6900000000000001,0.00883891830272392
0.7000000000000001,0.009179090913256928
0.71,0.010344170245370043
0.72,0.011594825748026893
0.73,0.011907646011252358
0.74,0.012102354300395893
0.75,0.012732814109678458
0.76,0.012936486058457892
0.77,0.013310445567520196
0.78,0.013421293922340734
0.79,0.01368137389459771
0.8,0.015092398037061167
0.81,0.016247444324848502
0.8200000000000001,0.017544881883517
0.8300000000000001,0.019794702871965674
0.84,0.020856146029340713
0.85,0.021616621553570945
0.86,0.023343180331698545
0.87,0.026996590729430416
0.88,0.03051823333891917
0.89,0.032331964299668656
0.9,0.03303434677187487
0.91,0.03620083884995887
0.92,0.03805979900029603
0.93,0.044027120909769256
0.9400000000000001,0.052452014241251496
0.9500000000000001,0.0593421529425607
0.96,0.0672931991368642
0.97,0.07078274576424762
0.98,0.07989648290208397
0.99,0.09364912873764937
1.0,0.09835828101389713
