cdf,prefill_e2e_time_normalized
0.0,5.0135331436980095e-05
0.01,5.2854683755644524e-05
0.02,5.557403607430895e-05
0.03,5.8293388392973374e-05
0.04,6.10127407116378e-05
0.05,6.373209303030223e-05
0.06,6.645144534896665e-05
0.07,6.917079766763109e-05
0.08,7.189014998629551e-05
0.09,7.460950230495993e-05
0.1,7.732885462362437e-05
0.11,8.004820694228879e-05
0.12,8.276755926095321e-05
0.13,8.454181300914437e-05
0.14,8.537096818686226e-05
0.15,8.620012336458014e-05
0.16,8.702927854229801e-05
0.17,8.78584337200159e-05
0.18,8.868758889773379e-05
0.19,8.951674407545167e-05
0.2,9.034589925316956e-05
0.21,9.117505443088744e-05
0.22,9.200420960860532e-05
0.23,9.28333647863232e-05
0.24,9.366251996404109e-05
0.25,9.449167514175897e-05
0.26,9.496290384410057e-05
0.27,9.543413254644216e-05
0.28,9.590536124878376e-05
0.29,9.637658995112535e-05
0.3,9.684781865346695e-05
0.31,9.731904735580855e-05
0.32,9.779027605815013e-05
0.33,9.826150476049173e-05
0.34,9.873273346283333e-05
0.35000000000000003,9.920396216517492e-05
0.36,9.967519086751652e-05
0.37,0.00010014641956985812
0.38,0.00010198836870722457
0.39,0.00010520103827961588
0.4,0.00010841370785200719
0.41000000000000003,0.00011162637742439849
0.42,0.0001148390469967898
0.43,0.0001180517165691811
0.44,0.00012126438614157242
0.45,0.00012447705571396372
0.46,0.00012768972528635504
0.47000000000000003,0.00013090239485874633
0.48,0.00013411506443113764
0.49,0.00013732773400352896
0.5,0.00014054040357592027
0.51,0.00014112151820050198
0.52,0.00014170263282508366
0.53,0.00014228374744966536
0.54,0.00014286486207424706
0.55,0.00014344597669882877
0.56,0.00014402709132341044
0.5700000000000001,0.00014460820594799215
0.58,0.00014518932057257385
0.59,0.00014577043519715553
0.6,0.00014635154982173723
0.61,0.00014693266444631894
0.62,0.00014751377907090064
0.63,0.0001490155558366589
0.64,0.0001514379947435938
0.65,0.00015386043365052867
0.66,0.00015628287255746356
0.67,0.00015870531146439844
0.68,0.00016112775037133332
0.6900000000000001,0.00016355018927826818
0.7000000000000001,0.00016597262818520306
0.71,0.00016839506709213795
0.72,0.00017081750599907283
0.73,0.0001732399449060077
0.74,0.0001756623838129426
0.75,0.00017808482271987748
0.76,0.0001851994158556803
0.77,0.00019231400899148314
0.78,0.00019942860212728597
0.79,0.0002065431952630888
0.8,0.00021365778839889163
0.81,0.00022077238153469446
0.8200000000000001,0.0002278869746704972
0.8300000000000001,0.00023500156780630003
0.84,0.00024211616094210286
0.85,0.00024923075407790567
0.86,0.0002563453472137085
0.87,0.0002634599403495113
0.88,0.00027243047825797385
0.89,0.0002832569609390961
0.9,0.0002940834436202183
0.91,0.00030490992630134055
0.92,0.00031573640898246275
0.93,0.00032656289166358495
0.9400000000000001,0.00033738937434470704
0.9500000000000001,0.0003482158570258293
0.96,0.0003590423397069515
0.97,0.00036986882238807374
0.98,0.00038069530506919594
0.99,0.0003915217877503182
1.0,0.0004023482704314404
