cdf,request_scheduling_delay
0.0,0.0
0.01,0.021199177652453677
0.02,0.042398355304907355
0.03,0.06359753295736102
0.04,0.08479671060981471
0.05,0.10599588826226838
0.06,0.12719506591472204
0.07,0.14839424356717573
0.08,0.1695934212196294
0.09,0.19079259887208308
0.1,0.21199177652453677
0.11,0.23319095417699043
0.12,0.2543901318294441
0.13,0.2698112710912556
0.14,0.27945437196242484
0.15,0.2890974728335941
0.16,0.29874057370476337
0.17,0.30838367457593263
0.18,0.31802677544710184
0.19,0.3276698763182711
0.2,0.33731297718944037
0.21,0.3469560780606096
0.22,0.35659917893177884
0.23,0.3662422798029481
0.24,0.37588538067411736
0.25,0.3855284815452866
0.26,0.4026465014112839
0.27,0.4197645212772812
0.28,0.43688254114327846
0.29,0.45400056100927566
0.3,0.4711185808752729
0.31,0.48823660074127023
0.32,0.5053546206072675
0.33,0.5224726404732648
0.34,0.5395906603392621
0.35000000000000003,0.5567086802052592
0.36,0.5738267000712566
0.37,0.5909447199372538
0.38,0.6023689070014895
0.39,0.6080992612639636
0.4,0.6138296155264377
0.41000000000000003,0.6195599697889118
0.42,0.6252903240513858
0.43,0.63102067831386
0.44,0.636751032576334
0.45,0.6424813868388082
0.46,0.6482117411012822
0.47000000000000003,0.6539420953637562
0.48,0.6596724496262304
0.49,0.6654028038887044
0.5,0.6711331581511786
0.51,0.6742997096490934
0.52,0.677466261147008
0.53,0.6806328126449228
0.54,0.6837993641428376
0.55,0.6869659156407523
0.56,0.690132467138667
0.5700000000000001,0.6932990186365818
0.58,0.6964655701344965
0.59,0.6996321216324113
0.6,0.702798673130326
0.61,0.7059652246282407
0.62,0.7091317761261555
0.63,0.7121012622048438
0.64,0.7148736828643056
0.65,0.7176461035237675
0.66,0.7204185241832294
0.67,0.7231909448426912
0.68,0.725963365502153
0.6900000000000001,0.7287357861616148
0.7000000000000001,0.7315082068210766
0.71,0.7342806274805386
0.72,0.7370530481400004
0.73,0.7398254687994622
0.74,0.7425978894589241
0.75,0.745370310118386
0.76,0.8458449588506318
0.77,0.9463196075828776
0.78,1.0467942563151234
0.79,1.1472689050473692
0.8,1.247743553779615
0.81,1.3482182025118608
0.8200000000000001,1.4486928512441057
0.8300000000000001,1.5491674999763514
0.84,1.6496421487085973
0.85,1.750116797440843
0.86,1.8505914461730888
0.87,1.9510660949053347
0.88,2.072831008330343
0.89,2.215886186448113
0.9,2.358941364565884
0.91,2.5019965426836546
0.92,2.645051720801425
0.93,2.788106898919195
0.9400000000000001,2.931162077036964
0.9500000000000001,3.0742172551547347
0.96,3.2172724332725053
0.97,3.3603276113902756
0.98,3.5033827895080463
0.99,3.6464379676258165
1.0,3.789493145743587
