cdf,request_scheduling_delay
0.0,0.0
0.01,0.5663591092281336
0.02,1.3731016757953765
0.03,4.866083307095194
0.04,14.74016775039932
0.05,15.500616327043174
0.06,17.84248179216496
0.07,19.764628678479042
0.08,24.818706597920404
0.09,25.49675909840779
0.1,26.66656296892587
0.11,29.81010110068837
0.12,29.917922038316533
0.13,31.021519755128672
0.14,32.672794425221184
0.15,34.291454688979194
0.16,38.381019704399414
0.17,42.50501436630195
0.18,43.15326084777363
0.19,44.730267389282226
0.2,45.96153451669354
0.21,48.08637998771674
0.22,51.02606031623191
0.23,55.5521925349444
0.24,58.98668266226145
0.25,60.88480165955753
0.26,62.96193603208287
0.27,67.55034849121184
0.28,74.27607758105464
0.29,86.92114358704652
0.3,96.94882976381544
0.31,97.3075488526094
0.32,97.57466893159967
0.33,98.57912349410728
0.34,100.6462768862687
0.35000000000000003,101.20924768761498
0.36,105.41641914434999
0.37,109.77926456699022
0.38,110.8981999638031
0.39,112.7752764395686
0.4,114.096454070383
0.41000000000000003,117.78149524521368
0.42,118.27157951250273
0.43,118.70772924386479
0.44,121.20100710307844
0.45,121.85106858281735
0.46,122.64937000681148
0.47000000000000003,124.37850131692552
0.48,124.56098752259717
0.49,124.71201206974865
0.5,125.86979676303253
0.51,128.29942781318377
0.52,129.89310329669806
0.53,130.31891296808004
0.54,131.24213490292337
0.55,131.8024485617723
0.56,132.99812423378035
0.5700000000000001,133.23527568110592
0.58,134.80296922990277
0.59,135.56389867602863
0.6,136.76915191177153
0.61,137.84222282353375
0.62,139.03661065524702
0.63,141.12274876797662
0.64,142.73453815902369
0.65,142.98634974605298
0.66,144.36319983968272
0.67,147.1156400568274
0.68,148.01542577594572
0.6900000000000001,149.8188367516184
0.7000000000000001,150.3289867335522
0.71,151.57417584804804
0.72,155.71817506229172
0.73,158.32215216797357
0.74,254.76014528278344
0.75,472.2155644213928
0.76,473.1483338778597
0.77,473.83075860608574
0.78,474.52463710671964
0.79,481.04781864377975
0.8,484.7271150538443
0.81,734.5642054404155
0.8200000000000001,760.2527918465906
0.8300000000000001,768.0067875322916
0.84,770.6648220339114
0.85,772.475116935685
0.86,776.4693837001414
0.87,779.7787438483367
0.88,784.0055988499392
0.89,787.3070355228797
0.9,1102.6705391522655
0.91,1231.346460811013
0.92,1234.9817550753503
0.93,1240.099791613101
0.9400000000000001,1241.8295945939506
0.9500000000000001,1261.0627835257035
0.96,1275.0455424688932
0.97,1279.7633306723988
0.98,1280.3078903045161
0.99,1439.1645019680175
1.0,1452.3586420318957
