cdf,prefill_e2e_time_normalized
0.0,5.192955601388918e-05
0.01,0.00010832909123712873
0.02,0.00016475344409930988
0.03,0.0003703347791310607
0.04,0.0007605980354197064
0.05,0.0010548011599332274
0.06,0.001216447433263935
0.07,0.0014534889480597893
0.08,0.0015592927558741763
0.09,0.0016139020336353963
0.1,0.0017229305558240102
0.11,0.001933488354787545
0.12,0.002181420740468213
0.13,0.002483840708288848
0.14,0.0029100857244542186
0.15,0.003051048480560019
0.16,0.0031490045292257712
0.17,0.003414998044616496
0.18,0.003855056425115999
0.19,0.004088144450860419
0.2,0.004598153663798249
0.21,0.004816641915244306
0.22,0.005504064995525921
0.23,0.005859964315920137
0.24,0.006159065825994538
0.25,0.006473709807928611
0.26,0.007039239972102735
0.27,0.007400711000176877
0.28,0.007879070029517302
0.29,0.008225813634947154
0.3,0.009678736795079478
0.31,0.010095771853410955
0.32,0.010673096213193284
0.33,0.011171126353448383
0.34,0.01149209099936263
0.35000000000000003,0.012471622319787386
0.36,0.012540597145762852
0.37,0.013224914940620293
0.38,0.014219099466412963
0.39,0.014819875757503714
0.4,0.01525289945629597
0.41000000000000003,0.016435936028619688
0.42,0.016807258305374086
0.43,0.017902677928218744
0.44,0.018918385093166606
0.45,0.019627815075310986
0.46,0.02011624856524457
0.47000000000000003,0.02077678712545792
0.48,0.022015069473416225
0.49,0.023495928946978606
0.5,0.02496041652702457
0.51,0.02562328637796982
0.52,0.027949862327328757
0.53,0.029500468152147116
0.54,0.031231731393571237
0.55,0.03294334431672843
0.56,0.033862213311926126
0.5700000000000001,0.03506596021254029
0.58,0.039015331115416066
0.59,0.040152130527173306
0.6,0.04356135398841655
0.61,0.04574254560175191
0.62,0.048890703224151115
0.63,0.0508585855461991
0.64,0.05187655883892592
0.65,0.05734194109914155
0.66,0.06125161094995526
0.67,0.06348207542937631
0.68,0.06574798146237251
0.6900000000000001,0.06815381628943472
0.7000000000000001,0.07197536214301603
0.71,0.07712144165281888
0.72,0.07898840604734585
0.73,0.08255968429438357
0.74,0.08352306982108558
0.75,0.08601534636604283
0.76,0.08883873817941006
0.77,0.09163038095796419
0.78,0.09392645839409934
0.79,0.09541077026776665
0.8,0.09815737539241327
0.81,0.10835726166635486
0.8200000000000001,0.11229084023180723
0.8300000000000001,0.12559278447262773
0.84,0.1356375413269394
0.85,0.14171528212783777
0.86,0.15208953808932665
0.87,0.17424428615323662
0.88,0.18753661778244493
0.89,0.19707650327434711
0.9,0.20456886763332874
0.91,0.20885048410699064
0.92,0.22304356253690424
0.93,0.30184438258098767
0.9400000000000001,0.36874323023438993
0.9500000000000001,0.5085557041689556
0.96,0.5417391315145472
0.97,0.6244962226174399
0.98,0.75649287828676
0.99,0.9574651754858743
1.0,1.6370743217067176
