cdf,prefill_e2e_time
0.0,0.37752787222097434
0.01,0.7833955745964509
0.02,3.048685624018663
0.03,5.66564002089028
0.04,15.052484819643075
0.05,16.036466971807616
0.06,19.63493346301558
0.07,20.537005046075407
0.08,25.087383350591374
0.09,26.039982638695143
0.1,27.462308779683806
0.11,29.976438152844295
0.12,30.113092592107673
0.13,31.324673184633014
0.14,33.004285470931336
0.15,37.11648173611554
0.16,40.02137898923801
0.17,43.05267685039512
0.18,43.79527957965445
0.19,45.11328253172605
0.2,46.700784750748745
0.21,48.62168432140387
0.22,52.88773698734614
0.23,56.10084624391071
0.24,59.76315937687428
0.25,62.075925134918684
0.26,64.28381872771624
0.27,70.68780735984492
0.28,76.50936911184884
0.29,90.76562061646642
0.3,97.30684040719615
0.31,97.55176596190555
0.32,97.88042005456307
0.33,99.58212096246466
0.34,101.2202841406935
0.35000000000000003,101.49028858509807
0.36,108.78666832631232
0.37,110.11163572866772
0.38,110.99856361767286
0.39,113.17291917542111
0.4,114.47418124979013
0.41000000000000003,118.1142975076763
0.42,118.48843546565453
0.43,118.94046028909754
0.44,121.3087118803478
0.45,122.24930714241627
0.46,123.22170650824054
0.47000000000000003,124.5717054535528
0.48,124.7511076925904
0.49,125.21823717609735
0.5,127.09880404178091
0.51,129.5282665519884
0.52,130.2983918768732
0.53,130.73401836564247
0.54,131.6932442421207
0.55,132.07465596006148
0.56,133.21879782683155
0.5700000000000001,133.42717055065302
0.58,135.44248064965177
0.59,136.11648414571772
0.6,137.07466039402175
0.61,138.32099887744792
0.62,139.24233937405938
0.63,141.39013797114907
0.64,143.02014765847574
0.65,143.1889589451527
0.66,144.52653225593716
0.67,147.40384099026176
0.68,148.18409835041095
0.6900000000000001,150.10090116298147
0.7000000000000001,150.66977591629532
0.71,152.00196299959626
0.72,156.49895652103226
0.73,158.7959098566084
0.74,255.59913110718844
0.75,472.32361831169356
0.76,473.6060856281353
0.77,474.3810704048415
0.78,474.9878780048651
0.79,481.4623114024923
0.8,484.9235345553602
0.81,737.2525893885091
0.8200000000000001,762.613916289598
0.8300000000000001,768.3769311611904
0.84,771.7793090703876
0.85,772.6013270200369
0.86,777.1128555310235
0.87,780.0495776759852
0.88,784.2422897613964
0.89,787.7083299859321
0.9,1102.9447810045085
0.91,1232.130355734986
0.92,1235.7429546784165
0.93,1240.5262522965268
0.9400000000000001,1241.9405187536977
0.9500000000000001,1262.2835460661067
0.96,1275.5826246014524
0.97,1279.8788056975013
0.98,1280.4291203974785
0.99,1439.6408795547197
1.0,1453.0113580707275
