cdf,request_model_execution_time
0.0,0.26360007313144007
0.01,0.5603574866476354
0.02,0.8573942919249874
0.03,1.0782874461516954
0.04,1.221357945147407
0.05,1.366181705513098
0.06,1.5683197500856079
0.07,1.7649148457490094
0.08,2.0600290464617164
0.09,2.260652530068792
0.1,2.419005596468355
0.11,2.9270269037879033
0.12,3.5421311058742995
0.13,3.8677120025657605
0.14,4.806712280487574
0.15,5.690847546660583
0.16,5.938705506409847
0.17,6.429286745877586
0.18,6.69489752119965
0.19,7.057962109870842
0.2,7.629147129555224
0.21,7.985989822589872
0.22,8.47037421321697
0.23,8.760943270861183
0.24,9.245708704819004
0.25,9.790444943139605
0.26,10.892752181319022
0.27,11.274899249470483
0.28,11.452045737883898
0.29,11.654864844400619
0.3,11.975641934741999
0.31,12.408961617986343
0.32,12.67063051893519
0.33,12.896016382497244
0.34,13.146976512722608
0.35000000000000003,13.766261780040777
0.36,13.943900895404449
0.37,14.395453897197788
0.38,15.173939870999172
0.39,15.461346887073898
0.4,15.753969441736082
0.41000000000000003,15.978551056844013
0.42,16.658442921364884
0.43,17.25729635151893
0.44,18.436482558629752
0.45,18.885884105434037
0.46,19.252270360146603
0.47000000000000003,20.296344977509396
0.48,20.527796786102115
0.49,20.778175541558294
0.5,21.619362020584397
0.51,22.61236950832897
0.52,22.84526011657057
0.53,23.299995894192527
0.54,24.009552136111164
0.55,24.42024214130974
0.56,25.24413960757993
0.5700000000000001,26.501594702015318
0.58,27.553419905183404
0.59,27.731637748441635
0.6,28.637091450944435
0.61,29.36687103910964
0.62,30.500013638317675
0.63,30.95861867415678
0.64,31.672212509209523
0.65,34.04292986653366
0.66,34.345108491693274
0.67,34.77250512206994
0.68,35.31853146344229
0.6900000000000001,36.388309452816905
0.7000000000000001,37.81196812231485
0.71,38.57237486312525
0.72,40.13403942332595
0.73,42.74805788666122
0.74,44.800337929292716
0.75,47.53419034856062
0.76,50.816273242904835
0.77,58.582645579272864
0.78,68.6050412554347
0.79,79.80674871005596
0.8,87.72251941843318
0.81,99.07408273815707
0.8200000000000001,107.43074165888248
0.8300000000000001,122.96424454454633
0.84,141.95159825340806
0.85,146.3031940586706
0.86,156.00464476474403
0.87,175.5558096682804
0.88,199.48468807299705
0.89,234.11951108453033
0.9,252.7226298274159
0.91,265.45555865215084
0.92,298.3819076766592
0.93,325.27810879092226
0.9400000000000001,369.70984819490343
0.9500000000000001,431.5570577572036
0.96,486.60083688711114
0.97,603.1068770328313
0.98,675.506330797989
0.99,868.5516358263876
1.0,1172.9658034138902
