cdf,request_preemption_time
0.0,0.0
0.01,0.0
0.02,0.0
0.03,0.0
0.04,0.0
0.05,0.0
0.06,0.0
0.07,0.0
0.08,0.0
0.09,0.0
0.1,0.0
0.11,0.0
0.12,0.0
0.13,0.0
0.14,0.0
0.15,0.0
0.16,0.0
0.17,0.0
0.18,0.0
0.19,0.0
0.2,0.0
0.21,0.0
0.22,0.0
0.23,0.0
0.24,0.0
0.25,0.0
0.26,0.0
0.27,0.0
0.28,0.0
0.29,0.0
0.3,0.0
0.31,0.0
0.32,0.0
0.33,0.0
0.34,0.0
0.35000000000000003,0.0
0.36,0.0
0.37,0.0
0.38,0.0
0.39,0.0
0.4,0.0
0.41000000000000003,0.0
0.42,0.0
0.43,0.0
0.44,0.0
0.45,0.0
0.46,0.0
0.47000000000000003,0.0
0.48,0.0
0.49,0.0
0.5,0.0
0.51,0.0
0.52,0.0
0.53,0.0
0.54,0.0
0.55,0.0
0.56,0.0
0.5700000000000001,0.0
0.58,0.0
0.59,0.0
0.6,0.0
0.61,0.0
0.62,0.0
0.63,0.0
0.64,0.0
0.65,0.0
0.66,0.0
0.67,0.0
0.68,0.0
0.6900000000000001,0.0
0.7000000000000001,0.0
0.71,0.013736312724475397
0.72,0.014604463516018306
0.73,0.015436107892071504
0.74,0.015557171445180984
0.75,0.015723188624036766
0.76,0.016112667452041478
0.77,0.017521078950312585
0.78,0.04773274941150526
0.79,0.10075808608996503
0.8,0.14070207550176977
0.81,0.21522054250325418
0.8200000000000001,0.4608324297543018
0.8300000000000001,1.3752707684633005
0.84,3.2598482077052546
0.85,5.888050476642132
0.86,7.048504080564118
0.87,8.103799497921264
0.88,36.58064341761395
0.89,67.27748162329188
0.9,104.23495643023143
0.91,133.5334560122251
0.92,180.886983369195
0.93,242.08577536274473
0.9400000000000001,252.020649432155
0.9500000000000001,262.9203454366366
0.96,285.1693668685686
0.97,313.69863122511714
0.98,334.1262205276058
0.99,383.7846497671579
1.0,477.8686746458301
